GeoFips,State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,United States,73695.12409,73761.62643,75793.8476,77057.2872,78212.12685,76715.60635,78237.25231,80103.52425,80044.98172,80913.58428
1000,Alabama,74033.71266,76246.28606,78188.21135,78338.93063,78503.42576,77846.88377,79113.45083,81200.78782,81016.84742,81263.15012
2000,Alaska,73734.83219,74150.80224,78942.96965,81629.3043,81070.81107,79379.10694,81626.04833,84724.33067,83256.91834,83450.05134
4000,Arizona,69464.77733,69911.28678,71961.5561,72909.88548,74100.09355,73809.74063,75768.96519,77341.6129,77732.59723,78526.62676
5000,Arkansas,71200.09523,71960.42112,72315.65875,74309.324,78019.18292,76934.57189,80171.02029,80973.1813,81623.79077,83086.13552
6000,California,73251.44817,73988.03425,76419.92514,78348.62677,79528.07454,77333.77517,78710.9145,81817.79833,82266.13855,82831.04109
8000,Colorado,68078.49781,66238.58482,67785.27546,70156.3133,71978.70009,71928.99655,74725.18536,75604.16958,74120.71097,75716.05636
9000,Connecticut,92499.6997,93950.03372,97928.98768,97228.94171,96257.77194,92648.09636,94555.36535,95979.09456,96450.69203,98259.07063
10000,Delaware,68956.94893,71293.90412,71596.09495,75319.75867,74711.42382,73832.45502,74219.83515,77163.86086,76587.98194,77817.06183
12000,Florida,74776.54947,73960.86704,78174.99858,78410.33159,78251.15835,75180.89277,76705.34579,78718.17283,77999.59925,78501.66392
13000,Georgia,69816.72891,71483.53866,73005.58473,74791.47952,74443.03837,72923.99936,74783.42755,76228.72821,76855.84862,77361.21624
15000,Hawaii,58863.56276,61105.0528,61958.49404,62825.56418,62551.75727,60943.9687,62314.60964,63707.8537,64890.22,65775.83509
16000,Idaho,60966.80791,61922.70125,64707.41944,66137.38004,68187.32534,68505.29314,69505.3262,72262.75604,72702.57205,73025.96263
17000,Illinois,77629.99071,75951.71129,77365.72132,77772.52206,79404.50815,80256.52665,82125.90977,84005.08822,83967.26598,84638.60924
18000,Indiana,71747.06776,72941.89243,74808.20972,76097.04317,77382.93633,76514.85767,77673.14329,80065.19377,80942.33794,81197.07617
19000,Iowa,69934.64707,68820.33053,69937.35785,72107.12767,73542.5874,72643.79939,73658.97536,75734.17086,75578.15583,76211.6921
20000,Kansas,73483.76191,72637.19512,73086.61598,75911.24789,78125.5821,77050.3688,76881.77233,77800.97331,77228.68637,78104.87105
21000,Kentucky,70058.49102,71755.88507,73230.00222,73681.00356,74005.28928,72775.40516,75039.26114,76703.28977,77202.10054,77943.48114
22000,Louisiana,77374.12362,75519.11043,77445.2408,77485.00552,78612.54188,77639.67843,79105.54222,79980.38988,79214.26533,79878.7689
23000,Maine,65057.91623,66890.11007,68789.79845,69236.48238,68333.03426,66626.39164,68182.86084,69644.05987,70471.9404,71583.5224
24000,Maryland,79034.51649,79631.22324,81638.70458,83043.01451,83374.81971,80906.83791,81388.259,84205.80648,85425.15747,85295.34903
25000,Massachusetts,78298.10642,79653.87244,82110.3384,83033.88658,84426.96741,81982.24996,82783.19715,84324.63373,84644.94505,85885.44486
26000,Michigan,74241.40688,74800.02481,76735.23489,77477.27743,78304.8838,76859.72814,78599.88496,82175.05227,83023.40323,83337.13435
27000,Minnesota,70141.23639,69005.74839,71557.98616,73435.29533,75327.60646,73954.3544,75924.94083,78324.75332,78714.52856,79400.17192
28000,Mississippi,72051.81891,73501.19615,74412.35206,74634.3069,75686.03143,74829.29146,75022.7557,75308.74826,75068.57378,75402.9986
29000,Missouri,73403.19372,74260.86937,75374.47835,75343.03455,76828.59669,75104.92378,76269.38868,77716.56335,78559.59245,79066.80243
30000,Montana,60455.91515,61413.09349,64330.1468,66525.6148,68451.27816,66280.99895,67857.65473,69403.1433,69828.41786,70755.42226
31000,Nebraska,69353.10115,69187.20676,71209.09787,76786.61406,76222.09009,74787.0668,77171.06674,79206.73151,77395.17316,77740.49556
32000,Nevada,67085.39889,67786.25076,71375.53838,71269.95637,72667.4864,69962.87918,72620.53822,75929.93538,75615.64868,75943.28326
33000,New Hampshire,70694.74068,72133.22466,74476.07062,76504.93595,77702.85106,75578.66046,76595.35417,78224.76723,78889.46151,79873.00509
34000,New Jersey,83386.14549,82759.33216,83729.65804,84198.28216,85178.69287,84284.70287,85495.30766,87661.16875,87776.49886,88651.24738
