State,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
United States,0.568,0.579,0.593,0.599,0.592,0.59,0.578,0.579,0.595,0.601,0.607,0.615,0.623,0.63,0.628,0.617,0.615,0.617,0.625,0.629,0.632,0.638,0.641,0.643,0.644,0.637,0.627,0.623,0.623,0.627,0.631,0.63,0.622,0.593,0.585,0.584,0.586,0.586,0.59,0.593
Alabama,0.531,0.541,0.553,0.551,0.538,0.524,0.51,0.52,0.541,0.552,0.56,0.566,0.57,0.574,0.579,0.571,0.576,0.581,0.589,0.597,0.602,0.612,0.611,0.607,0.603,0.592,0.582,0.582,0.585,0.589,0.591,0.587,0.572,0.531,0.532,0.534,0.534,0.534,0.532,0.53
Alaska,0.63,0.629,0.638,0.646,0.642,0.65,0.656,0.653,0.659,0.663,0.649,0.646,0.654,0.679,0.67,0.663,0.663,0.676,0.683,0.678,0.68,0.687,0.693,0.687,0.686,0.678,0.669,0.665,0.662,0.668,0.666,0.663,0.662,0.648,0.643,0.639,0.634,0.631,0.631,0.627
Arizona,0.54,0.554,0.562,0.573,0.576,0.581,0.569,0.577,0.598,0.592,0.599,0.603,0.606,0.621,0.609,0.595,0.586,0.594,0.614,0.63,0.623,0.615,0.621,0.627,0.626,0.623,0.619,0.618,0.617,0.615,0.619,0.613,0.599,0.569,0.566,0.558,0.555,0.551,0.557,0.561
Arkansas,0.536,0.55,0.553,0.561,0.553,0.554,0.543,0.542,0.549,0.548,0.554,0.565,0.576,0.586,0.592,0.58,0.588,0.595,0.611,0.616,0.61,0.6,0.594,0.597,0.595,0.584,0.585,0.578,0.587,0.604,0.604,0.599,0.595,0.568,0.557,0.555,0.548,0.533,0.536,0.548
California,0.568,0.585,0.604,0.614,0.61,0.606,0.594,0.592,0.608,0.613,0.62,0.631,0.638,0.643,0.631,0.613,0.602,0.597,0.601,0.604,0.61,0.62,0.626,0.629,0.638,0.635,0.622,0.614,0.615,0.62,0.622,0.621,0.611,0.579,0.564,0.56,0.566,0.571,0.577,0.583
Colorado,0.629,0.629,0.638,0.658,0.66,0.663,0.656,0.669,0.689,0.675,0.653,0.646,0.649,0.653,0.672,0.669,0.662,0.674,0.696,0.705,0.695,0.704,0.716,0.712,0.703,0.688,0.678,0.677,0.686,0.686,0.693,0.695,0.686,0.658,0.642,0.639,0.636,0.637,0.645,0.641
Connecticut,0.584,0.604,0.62,0.634,0.632,0.625,0.62,0.626,0.647,0.66,0.672,0.675,0.673,0.678,0.671,0.669,0.66,0.657,0.65,0.643,0.643,0.649,0.654,0.66,0.664,0.653,0.645,0.637,0.633,0.638,0.649,0.655,0.651,0.634,0.621,0.617,0.609,0.605,0.615,0.62
Delaware,0.574,0.583,0.591,0.593,0.596,0.596,0.598,0.599,0.622,0.637,0.647,0.658,0.674,0.681,0.67,0.651,0.657,0.666,0.672,0.665,0.652,0.649,0.654,0.653,0.667,0.673,0.652,0.639,0.638,0.643,0.647,0.641,0.627,0.585,0.568,0.576,0.574,0.566,0.579,0.594
Florida,0.503,0.509,0.53,0.534,0.528,0.534,0.531,0.537,0.558,0.564,0.575,0.589,0.595,0.596,0.591,0.576,0.571,0.576,0.585,0.587,0.588,0.593,0.597,0.599,0.606,0.602,0.589,0.588,0.594,0.604,0.615,0.613,0.597,0.558,0.548,0.549,0.555,0.558,0.563,0.561
Georgia,0.587,0.596,0.609,0.612,0.605,0.607,0.599,0.599,0.613,0.618,0.63,0.635,0.64,0.645,0.637,0.625,0.622,0.629,0.639,0.642,0.65,0.66,0.666,0.668,0.668,0.657,0.647,0.647,0.643,0.643,0.649,0.65,0.636,0.591,0.574,0.577,0.581,0.577,0.576,0.577
Hawaii,0.627,0.631,0.623,0.62,0.629,0.63,0.623,0.625,0.62,0.62,0.628,0.645,0.646,0.651,0.663,0.672,0.665,0.658,0.643,0.636,0.636,0.634,0.631,0.634,0.644,0.643,0.629,0.627,0.627,0.64,0.647,0.641,0.628,0.597,0.585,0.583,0.572,0.576,0.59,0.597
Idaho,0.598,0.613,0.624,0.624,0.601,0.592,0.587,0.599,0.613,0.614,0.611,0.612,0.629,0.639,0.639,0.634,0.642,0.649,0.669,0.663,0.665,0.669,0.672,0.663,0.661,0.664,0.654,0.647,0.65,0.665,0.664,0.657,0.632,0.601,0.594,0.595,0.598,0.599,0.605,0.613
Illinois,0.588,0.598,0.609,0.611,0.602,0.6,0.582,0.576,0.593,0.597,0.602,0.61,0.621,0.638,0.642,0.629,0.628,0.629,0.64,0.648,0.65,0.655,0.657,0.665,0.665,0.65,0.627,0.617,0.621,0.628,0.644,0.65,0.636,0.602,0.599,0.598,0.6,0.595,0.602,0.609
Indiana,0.6,0.606,0.622,0.62,0.591,0.585,0.565,0.566,0.59,0.611,0.621,0.622,0.634,0.645,0.638,0.619,0.622,0.642,0.665,0.675,0.666,0.668,0.667,0.663,0.658,0.65,0.646,0.643,0.636,0.637,0.641,0.633,0.624,0.584,0.573,0.578,0.578,0.582,0.596,0.607
Iowa,0.617,0.631,0.64,0.636,0.627,0.617,0.604,0.605,0.61,0.608,0.625,0.642,0.663,0.671,0.664,0.668,0.68,0.699,0.706,0.704,0.708,0.705,0.701,0.699,0.693,0.696,0.7,0.681,0.676,0.686,0.697,0.694,0.694,0.677,0.669,0.661,0.655,0.662,0.672,0.673
Kansas,0.623,0.635,0.65,0.659,0.652,0.647,0.632,0.627,0.637,0.65,0.648,0.656,0.66,0.664,0.668,0.667,0.673,0.674,0.675,0.672,0.67,0.68,0.692,0.693,0.678,0.661,0.661,0.665,0.674,0.673,0.674,0.678,0.678,0.664,0.649,0.645,0.643,0.644,0.649,0.65
Kentucky,0.568,0.576,0.582,0.583,0.576,0.569,0.557,0.554,0.566,0.56,0.556,0.558,0.567,0.581,0.589,0.578,0.58,0.584,0.591,0.594,0.593,0.604,0.608,0.611,0.61,0.598,0.586,0.583,0.585,0.587,0.59,0.587,0.575,0.555,0.551,0.553,0.559,0.556,0.548,0.537
Louisiana,0.526,0.535,0.548,0.555,0.558,0.558,0.539,0.534,0.551,0.549,0.536,0.536,0.54,0.549,0.571,0.571,0.567,0.558,0.566,0.571,0.577,0.586,0.592,0.59,0.586,0.58,0.568,0.568,0.574,0.584,0.594,0.591,0.591,0.568,0.558,0.55,0.552,0.557,0.569,0.567
Maine,0.564,0.557,0.562,0.567,0.566,0.566,0.564,0.576,0.594,0.596,0.603,0.623,0.631,0.636,0.638,0.632,0.632,0.615,0.608,0.627,0.647,0.643,0.639,0.652,0.659,0.646,0.636,0.633,0.632,0.636,0.637,0.632,0.624,0.601,0.595,0.597,0.6,0.608,0.603,0.595
