State,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,88428128,91814208,95786422,98613588,99011749,100178270,99377386,100670822,104788547,107064352,109353702,112169676,114724472,117064000,118562432,117728948,118694420,120640416,123615881,125789589,127884696,130729551,132889942,134859265,136611468,136687184,136169290,136658959,138326223,140705432,143431563,144851708,144551158,139290198,139094584,140450526,142268263,143675680,145988497,148216473,150609722,152916552,154961804
Alabama,1399080,1453781,1518309,1537596,1521183,1500534,1474143,1514551,1591093,1637751,1680722,1718107,1742376,1762813,1778143,1779490,1816526,1856754,1900856,1943878,1977334,2027064,2042291,2038889,2035594,2006884,1981919,1992732,2014889,2049791,2080233,2089127,2053477,1924747,1964559,1990413,2003290,2017043,2014290,2026898,2049971,2081676,2112347
Alaska,151190,155948,162730,166730,169397,177803,191699,208713,221308,227693,227228,223042,226968,237686,249038,252921,261624,272709,279471,281889,286252,290845,295823,297354,299146,300731,302580,305723,311643,320811,326542,328579,332285,331792,333416,338161,339474,339801,340302,339724,337369,335682,333375
Arizona,890988,956606,1017179,1093987,1146371,1192377,1206118,1264176,1357616,1392656,1454740,1513853,1559871,1627178,1691876,1697675,1732327,1824253,1974779,2109900,2157966,2202911,2284323,2363084,2410581,2461498,2516006,2578854,2655428,2748372,2864385,2917117,2913903,2817577,2769454,2748470,2776349,2794697,2889380,2974540,3066011,3165127,3273550
Arkansas,829394,869982,893511,923371,922894,933766,922554,930038,952014,956947,976138,1003871,1027345,1049579,1053833,1045529,1072508,1105538,1153107,1178835,1183048,1177521,1177122,1197320,1204695,1191273,1201422,1196299,1226123,1275448,1294906,1296572,1300017,1252399,1242496,1249514,1241127,1226859,1237248,1264538,1286875,1297652,1301459
California,8994291,9518343,10125077,10574856,10787673,10953612,10942811,11090005,11656587,12051618,12438577,12945765,13392506,13806871,14264158,13960003,13880944,13817032,13944739,14048225,14300443,14784636,15184470,15555278,16033179,16197671,16108685,16102840,16303996,16582651,16789422,16931590,16854482,16182572,16091945,16258133,16602672,16958403,17310937,17681849,18002773,18285492,18582802
Colorado,1169467,1210829,1272961,1361535,1405381,1450918,1478789,1548743,1622610,1610284,1577648,1573086,1586629,1606176,1671823,1700069,1734715,1828679,1952999,2039647,2063318,2140797,2227846,2272197,2294408,2300113,2307685,2338207,2393559,2435082,2509729,2565218,2585243,2524443,2486404,2507265,2539941,2577556,2662404,2719500,2803436,2911079,2994752
Connecticut,1320510,1380972,1434580,1482436,1496088,1497809,1498489,1522446,1585450,1629294,1670498,1691514,1694869,1705616,1726482,1720656,1689684,1676578,1657825,1639060,1645952,1664912,1682342,1704134,1721913,1704774,1697127,1687924,1686213,1709382,1749191,1773159,1774681,1740971,1737449,1745967,1729838,1717764,1762564,1780840,1793904,1807506,1827070
Delaware,241614,249732,256771,260517,262384,265348,269723,273360,287859,300368,310780,322702,337484,347126,343199,339303,347253,357777,366324,369200,368254,372144,380250,385190,398027,407033,400019,397472,403599,414465,425399,428312,424914,401312,397869,410086,413457,413119,426325,443100,450911,455489,464337
Florida,3272065,3419987,3695902,3890380,4014765,4224775,4330894,4508687,4832656,5023378,5267509,5549518,5744058,5890508,6068832,6040216,6108967,6274934,6499945,6656533,6800128,7015836,7196659,7359460,7565981,7669117,7656349,7783148,8049908,8398974,8709522,8789770,8637164,8148123,8193659,8371638,8588669,8770084,8966245,9084483,9354560,9669228,9869673
