Series ID,State,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,United States,30645,32407,36600,40213,42574,42006,40510,41759,43945,44954,43843,45287,47930,48909,50310,49093,50744,52473,52959,51426,53374,54296,54105,55659,56764,58391,60874,64020,65931,68023,70512,71006,71335,73798,76912,78389,77069,79502,82593,86826,89933,90533,91297,89689,90295,94548,97532,99500,102116,105378,108051,109527,108427,108802,110935,114398,117407,119836,122951,126157,129240,132024,132087,130649,130347,131787,134051,136453,137999,137242,131313,130361,131932,134175,136381,138958,141865,143817.1,145877.7,148044.3
SMU01000000000000001,Alabama,405.3,427.7,500.8,608.3,632.7,618.4,579.3,561.8,610.3,629.1,604.5,619.6,662.8,681.4,692.7,678,702.9,734.7,754.8,742.3,764.4,776.4,774.6,791.8,812.5,843.8,886.5,935.6,951.8,970.1,1000.2,1010.4,1021.9,1072.3,1135.5,1169.8,1155.4,1207,1269.2,1336.5,1362,1356.1,1347.6,1312.5,1328.8,1387.7,1427.1,1463.3,1507.7,1558.7,1601.2,1635.8,1642,1674.4,1716.8,1758.5,1803.7,1828.6,1866.2,1898.1,1919.5,1931.2,1908.7,1883.2,1875.6,1901.7,1944.9,1979.6,2005.7,1992.1,1886.5,1870.8,1870,1885.1,1902.6,1922.6,1947.3,1997,2018.7,2042
SMU02000000000000001,Alaska,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56.5,57,58.9,62.1,65.4,70.5,73.1,76.8,79.9,86.8,93.1,97.8,103.5,109.9,127.8,161.9,171.7,163.3,163.5,166.9,169.4,186.1,200.4,214.3,225.7,230.7,220.7,210.1,213.7,227,237.1,241.7,246.2,251.8,258.3,261,262.6,267.7,274,278.1,283.1,288.3,293.8,298.2,303.3,308.8,313.9,316.9,321.2,319.9,324.1,329.5,334.6,336,337.7,339.3,333.5,329.2,327.3
SMU04000000000000001,Arizona,95.5,100.7,111.2,135.2,144.7,140.6,136.5,135.6,145.8,154.8,153.8,161.6,180.7,197.4,207.6,209.1,226,251.2,272.7,286.9,309,333.8,347.1,364.8,377.3,389.3,403.7,434.8,445.5,473.4,517.2,547.4,581.3,646.2,714.4,745.9,729,758.8,809.4,895.4,980,1014,1040.8,1029.8,1077.8,1181.9,1278.6,1337.8,1385.8,1419.3,1454.5,1483.1,1491.2,1517.1,1584.4,1692,1793.4,1892.3,1984.6,2074.7,2163.1,2242.9,2265.9,2267.5,2299.2,2384.6,2512.7,2639.3,2679.4,2622.5,2432.6,2386.2,2412.1,2463.5,2520.6,2570.4,2636.4,2708.8,2777.3,2856
SMU05000000000000001,Arkansas,197.9,201.3,230.8,281,280.7,268,273,270.5,286.2,294.2,287.9,298.3,318.9,323.2,319.6,311.4,321.1,333.1,337.5,343.7,359.6,367.6,378,399.7,416.3,431.8,458.8,489.8,501,514.6,533.8,536.2,551,581.5,614.5,640.7,623.8,659.9,695.5,732.7,749.5,742.3,740.1,720.1,741.3,780.2,797.1,813.8,836.6,865.4,893.4,923.9,936.6,963.1,993.9,1034.1,1069.6,1087,1104.7,1122.2,1141.8,1158.6,1153.7,1146.3,1145.1,1158.1,1177.9,1198.6,1204.5,1202.5,1164.9,1163,1170.1,1176.5,1176.2,1187.5,1208.5,1233,1248.7,1261.9
SMU06000000000000001,California,1812,1931.7,2264.9,2689.7,3083.6,3116.4,2961.3,2972.6,3080,3162.8,3088.1,3209.4,3518.3,3737.8,3880.7,3866.1,4082.9,4352.3,4525.2,4498.6,4774.8,4896,4996.1,5217.7,5412.3,5606.5,5800.3,6145.2,6367.6,6642.1,6931.5,6946.2,6917,7209.9,7621.9,7834.3,7847.2,8154.2,8599.7,9199.8,9665.7,9853.3,9993.2,9821.7,9932.6,10408.3,10791.5,11110.6,11501.2,11943.6,12274.1,12538.7,12405.9,12207.2,12094.7,12211.7,12476.6,12804.5,13201.2,13687.6,14092.9,14585.3,14718.9,14600.7,14575.2,14748.5,15045.2,15325.6,15460.7,15298.6,14437.8,14282.5,14433.8,14761.4,15154.3,15585.6,16051.5,16480.7,16836.7,17175.2
SMU08000000000000001,Colorado,233.5,238.3,260.2,307.8,307.9,291.5,296,314.8,338,348,341.5,361.3,397.3,416.5,421.4,416.1,436.8,456.9,475.5,475.9,497.6,521,542.9,557.5,571.8,583.2,599,631.3,655.9,686.7,720.8,750.2,787.1,869.4,936,959.7,963.5,1003.4,1058.1,1149.9,1218,1251.1,1295.2,1316.6,1327.2,1402.3,1418.7,1408.3,1412.6,1436.1,1482.3,1520.9,1545,1597,1670.7,1756,1834.7,1900.9,1980.2,2057.6,2132.6,2213.9,2226.8,2184.2,2152.8,2179.6,2226,2279.1,2331.3,2350.3,2245.6,2222.3,2258.6,2313,2381.9,2464.9,2541.2,2601.8,2660.4,2725.3
SMU09000000000000001,Connecticut,558.7,604.5,712.5,774.2,799.3,754.4,688.7,714.9,773.8,775.9,730,766.1,828.7,847.6,880.4,860.3,874.8,913.4,921.7,873.3,897.9,915.4,922.7,949.8,969.3,991.2,1032.9,1095.4,1130.1,1158,1194.1,1197.5,1164.3,1190.4,1238.7,1264,1223.4,1239.7,1282.3,1346.1,1398,1426.9,1438.3,1428.5,1444.2,1517.3,1558.2,1598.4,1638.2,1667.4,1665.6,1619.6,1557.1,1526.4,1531.3,1543.9,1561.6,1582.6,1607.8,1643.5,1669.2,1693.3,1681.2,1665,1644.6,1649.9,1662.1,1680.7,1698.3,1699.1,1626.6,1608,1623.9,1637.5,1650.1,1661.5,1674,1683.9,1687.4,1689
SMU10000000000000001,Delaware,76,82.7,93,100.3,107.6,103.8,97.8,104.3,110.7,114.8,113.5,121,129.3,134.3,139.3,135.3,143.6,156.4,154.2,148.9,151.5,153.9,152,156.4,163.6,170.8,184.1,193.2,197.4,202.9,211.9,216.8,224.9,232.4,239.4,233.1,229.9,236.7,238.8,247.8,256.7,259.2,259.2,259.2,266.1,280,293.3,303.2,320.7,334.2,344.5,347.5,341.8,341.3,348.7,355.9,366.3,376.3,387.9,400.3,413.2,420.5,420.1,415.4,415.7,425.1,432.9,438.1,439,436.8,416.6,413.8,417.1,419.4,428.6,438.5,448.8,452.9,456.6,461.3
SMU12000000000000001,Florida,390.5,424.5,474.6,516.8,583.1,582.6,562.3,593.4,641.4,657.9,657.3,704.4,759.7,808.8,848.8,882.7,966,1060.1,1152.7,1185.6,1273.1,1320.6,1333.9,1387.8,1447.3,1526.5,1619.1,1726.8,1816.4,1932.3,2069.9,2152.1,2276.3,2513.1,2778.6,2863.8,2746.4,2784.3,2933.4,3180.6,3381.2,3576.2,3736,3761.9,3905.4,4204.2,4410,4599.4,4848.1,5066.6,5260.9,5363.3,5273.8,5337.3,5549.5,5776.8,5972.8,6159.4,6395.3,6611.2,6801.2,7054,7143.5,7151.8,7232.6,7481,7781.1,7982.9,7998.3,7714.9,7232.3,7172.9,7251.9,7396.9,7582.5,7824.9,8093.4,8388.3,8572.5,8781.9
