GeoFips,State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,United States,42260,43640,45192,46537,46539,46912,47841,49201,50463,51405,51874,51315,49577,50428,50840,51603,52191,53080,54208,54660,55515,56749
1000,Alabama,32887,33736,34783,35165,35008,35908,36636,38737,39692,39922,39776,39273,37416,38087,38562,38687,38954,38479,38885,38977,39600,40279
2000,Alaska,68947,66390,65178,62929,64657,66758,65006,66337,67549,71845,75135,74018,79894,75852,75683,78957,74283,72265,72652,70947,70956,70936
4000,Arizona,35582,37503,39431,40265,40326,40641,42346,43034,45052,45991,46194,44182,40214,40183,40660,40919,40716,40602,40891,41564,42164,43096
5000,Arkansas,31816,32287,33681,33677,33409,34326,35432,36808,37630,37898,37265,36803,35393,36250,36830,36836,37769,37977,37999,38051,38246,38467
6000,California,42438,44574,47236,50310,49385,50002,51780,53474,55547,57527,58030,57675,54827,55147,55565,56492,58015,59804,62284,63731,65675,67698
8000,Colorado,45839,48845,51183,53792,53411,52731,52673,52633,54155,54259,55076,54750,52769,52452,52459,52663,53607,55130,56476,56926,57894,59057
9000,Connecticut,56964,58314,59718,63419,64171,63595,63783,67828,69144,71524,74031,73252,69639,69140,67452,67828,67062,66084,67433,67468,67121,67784
10000,Delaware,60188,65165,69500,71352,74000,70474,70852,73041,70962,71569,70244,66363,67738,66715,68353,67719,64048,68297,69720,67127,66506,66023
12000,Florida,36934,38106,39127,40049,40267,41062,42074,43471,45193,45926,45507,43353,40652,40656,40001,39806,40080,40499,41333,41882,42233,43052
13000,Georgia,42809,44854,46931,47791,47377,47024,47617,48957,49915,49213,48456,46652,44306,44588,44880,44855,45198,46088,47072,48058,48921,49663
15000,Hawaii,45953,44732,45594,46491,45695,46718,48626,50981,53039,53754,54110,53812,51306,52059,52260,52751,52737,52658,54146,55148,56170,56880
16000,Idaho,30130,30975,33313,36419,34897,35220,35600,36817,38780,39212,39003,38912,36725,36865,36492,36206,37127,37614,38273,38959,39072,39843
17000,Illinois,47416,48553,49949,51612,51582,51724,52233,53477,54393,55718,56137,54870,53370,54121,54950,55937,56179,56965,57657,57989,58513,59980
18000,Indiana,38999,41071,42099,43286,42211,43065,44410,45669,45471,45995,46934,46424,42957,45472,45499,45514,46270,47479,46892,47507,48060,48738
19000,Iowa,39212,39351,39985,41706,41156,42293,43955,47314,48534,48912,50764,49435,48013,49016,49330,51120,50641,52973,53902,53934,53547,54101
20000,Kansas,39757,40783,41519,42311,42134,42584,43143,43111,44534,46653,48735,49378,47049,47213,48296,48686,48559,49348,49813,50923,51335,52297
21000,Kentucky,37179,38027,38890,37569,37344,38064,38662,39419,40358,41082,40376,40130,38224,39567,39853,40193,40726,40719,40822,40920,41215,41659
22000,Louisiana,45652,46997,47739,46219,46684,47395,48936,50876,53647,56554,53620,53043,53136,54428,51159,50779,49003,49921,49589,48849,48959,49606
23000,Maine,34297,35130,36622,37996,38438,39070,39593,40748,40653,41001,40693,40527,39910,40505,39971,39824,39531,40141,40351,41091,41659,42356
24000,Maryland,42887,44545,45848,47257,48519,49791,50571,52662,54716,55387,55204,55560,54946,56530,57254,56874,56542,56848,57536,59133,60091,60886
25000,Massachusetts,48635,50205,52507,56519,56651,56847,58203,59805,61030,62050,63433,63782,62609,64659,65736,66685,66260,67046,69126,70005,71153,72635
26000,Michigan,40507,41257,43382,44037,42400,43457,44198,44175,44845,44171,44109,41893,38387,40591,41640,42322,42803,43351,44330,45088,45708,46858
27000,Minnesota,44494,46323,47335,49858,49382,50292,52214,53995,55101,54608,54388,54468,52157,53638,54367,54737,55532,56534,56787,57504,58235,59057
28000,Mississippi,29959,30423,30988,30945,30564,30827,31975,32416,32770,33649,34219,35411,33616,33658,33147,33386,33332,33247,33386,33504,33646,34029
29000,Missouri,41650,42029,42856,43880,43326,43493,44101,44758,45167,45053,44905,45681,44507,44986,44383,44615,45012,45040,45427,44882,45147,46064
30000,Montana,32780,34138,34092,34716,34897,35678,36801,38037,39439,40340,41856,41132,39978,40924,41589,41849,41866,42169,43400,42477,42158,42173
31000,Nebraska,41936,42640,43340,44709,45503,46095,48382,49207,50465,51553,52364,52088,51884,53487,55599,55181,56308,57000,57982,57833,57639,58141
32000,Nevada,51226,51234,52347,52183,50828,50612,51391,54933,57437,57562,55517,52330,47396,47670,47823,46653,46192,45995,47095,47361,47675,48189
33000,New Hampshire,40713,42791,43419,45746,45744,46522,48139,49219,49562,50402,50054,49408,48970,50458,50644,51126,51870,52110,53263,54041,54810,55744
34000,New Jersey,51855,52342,53688,56109,56108,56947,58095,58785,59350,60503,60708,61193,58380,58706,57877,58758,59078,59212,60154,60527,61202,62263
35000,New Mexico,38001,37406,39111,39510,39337,40034,41081,43514,43382,43774,43471,42760,43042,42141,41899,41964,41335,42649,43473,43468,43465,44187
36000,New York,52364,53139,55504,57258,58285,57590,57621,59072,61207,62807,62864,61183,63357,65437,65094,67560,67215,68589,69634,70680,71831,73531
37000,North Carolina,41318,41775,43327,43908,44013,43962,44465,45445,46809,48511,47865,48007,45199,45267,45470,45088,45244,45665,46621,46564,46930,47778
38000,North Dakota,34493,36572,36794,38314,39147,41322,43822,43844,45051,46598,48509,51941,52699,55871,61218,73233,72757,76357,72426,67279,66099,67308
39000,Ohio,41844,43133,44026,44792,44068,45122,45707,46660,47433,47136,47077,46651,44169,45158,46667,46831,47579,49157,49689,49987,50658,51456
40000,Oklahoma,34218,34614,34833,35929,37126,37568,37971,38986,40318,42475,42776,43980,42833,42352,43601,45431,46092,48491,49763,48162,48204,48954
41000,Oregon,35874,37039,37385,40179,39415,39761,41040,42807,43857,45742,45968,46157,43757,44043,44911,44752,44815,45910,47697,48964,49851,50996
42000,Pennsylvania,40548,41524,42692,43733,44296,44623,45451,46575,47233,47322,48712,49461,47802,48970,49540,50233,50977,51981,53018,53621,54508,55602
44000,Rhode Island,39166,40526,41499,43080,43436,44664,46086,48003,48989,50342,49264,47817,47657,48833,48664,48968,49364,49439,50184,50125,50549,50827
45000,South Carolina,34953,35757,36865,37399,37172,37660,38585,38528,39009,39088,39398,38548,36352,36708,37275,37178,37560,37995,38667,39221,39730,39883
46000,South Dakota,33560,35456,36648,38906,39245,43365,44070,45524,46303,46561,48075,49608,49230,49169,51966,52123,51767,51938,53009,52642,51832,51997
47000,Tennessee,38341,40174,40864,40877,40468,41499,42379,43875,44175,44584,43518,43540,41709,41969,42955,43979,44168,44570,45606,46101,46741,47695
48000,Texas,44212,46056,46973,47664,47932,48031,47583,49241,49732,51811,53470,52481,51264,51568,52397,54097,55573,56060,57844,57025,57373,58417
49000,Utah,38062,39576,40513,41215,41111,41162,41374,42774,44409,47009,47925,46369,44353,44438,45149,45110,45516,46262,47392,48273,48593,49740
50000,Vermont,33531,34471,36124,37765,38733,39736,40950,42851,43317,43559,42987,43959,43207,44914,45828,46141,45510,45569,46073,46913,47467,47921
51000,Virginia,44167,45964,47448,48715,49806,49714,51054,52631,54782,55219,55090,54357,53695,54497,54516,54360,54108,53600,54299,54143,54745,55929
53000,Washington,47861,50108,53116,52826,50964,51276,51805,52116,54874,55989,58531,58270,55903,56541,56853,58156,59047,60310,61891,63071,64529,67242
54000,West Virginia,32563,33138,34314,34339,34425,34787,34674,35080,36006,36345,36271,36890,36566,36912,37530,37376,37844,37765,37729,37502,38330,39495
55000,Wisconsin,39736,41009,42436,43373,43669,44259,45238,46428,47269,47775,47754,46912,45357,46541,47394,47963,48142,48893,49514,49960,50496,51575
56000,Wyoming,51567,52651,54542,56055,59113,59749,60805,61932,64418,71798,75410,78075,73922,70509,69453,66690,66144,66193,67558,65167,66083,66413
