Series ID,State,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
LNU04000000,United States,0.077,0.071,0.061,0.058,0.071,0.076,0.097,0.096,0.075,0.072,0.07,0.062,0.055,0.053,0.056,0.068,0.075,0.069,0.061,0.056,0.054,0.049,0.045,0.042,0.04,0.047,0.058,0.06,0.055,0.051,0.046,0.046,0.058,0.093,0.096,0.089,0.081,0.074,0.062,0.053,0.049,0.044,0.039
LAUST010000000000003,Alabama,0.068,0.073,0.064,0.072,0.089,0.106,0.141,0.138,0.11,0.092,0.097,0.081,0.072,0.07,0.068,0.073,0.076,0.073,0.062,0.06,0.052,0.05,0.044,0.047,0.046,0.051,0.059,0.06,0.057,0.045,0.04,0.04,0.057,0.11,0.105,0.097,0.08,0.072,0.068,0.06,0.058,0.044,0.039
LAUST020000000000003,Alaska,0.076,0.099,0.106,0.093,0.096,0.094,0.099,0.099,0.098,0.097,0.109,0.103,0.088,0.07,0.072,0.085,0.089,0.077,0.076,0.073,0.076,0.071,0.063,0.065,0.064,0.064,0.073,0.078,0.075,0.069,0.066,0.063,0.067,0.077,0.079,0.076,0.071,0.069,0.068,0.066,0.069,0.07,0.066
LAUST040000000000003,Arizona,0.097,0.082,0.06,0.051,0.066,0.062,0.101,0.088,0.052,0.063,0.069,0.065,0.064,0.053,0.053,0.059,0.075,0.064,0.061,0.053,0.056,0.046,0.043,0.044,0.04,0.048,0.061,0.057,0.05,0.047,0.042,0.039,0.062,0.099,0.104,0.095,0.084,0.078,0.069,0.061,0.054,0.049,0.048
LAUST050000000000003,Arkansas,0.07,0.065,0.062,0.062,0.076,0.087,0.099,0.099,0.087,0.087,0.086,0.081,0.076,0.07,0.069,0.074,0.071,0.061,0.054,0.048,0.053,0.052,0.052,0.046,0.043,0.05,0.055,0.059,0.057,0.052,0.052,0.053,0.055,0.078,0.082,0.083,0.076,0.074,0.061,0.054,0.04,0.037,0.037
LAUST060000000000003,California,0.091,0.083,0.072,0.062,0.068,0.074,0.1,0.098,0.078,0.072,0.067,0.058,0.053,0.051,0.058,0.077,0.093,0.095,0.086,0.079,0.073,0.064,0.059,0.052,0.049,0.054,0.067,0.068,0.062,0.054,0.049,0.054,0.073,0.112,0.122,0.117,0.104,0.089,0.075,0.062,0.055,0.048,0.042
LAUST080000000000003,Colorado,0.058,0.064,0.055,0.047,0.058,0.057,0.073,0.071,0.054,0.061,0.075,0.075,0.065,0.057,0.052,0.053,0.06,0.053,0.042,0.04,0.042,0.035,0.036,0.031,0.028,0.038,0.055,0.06,0.055,0.05,0.043,0.037,0.048,0.073,0.087,0.083,0.078,0.068,0.05,0.04,0.032,0.027,0.033
LAUST090000000000003,Connecticut,0.093,0.07,0.052,0.051,0.058,0.062,0.069,0.06,0.047,0.047,0.038,0.034,0.03,0.038,0.051,0.065,0.076,0.066,0.056,0.055,0.055,0.05,0.034,0.029,0.024,0.031,0.043,0.054,0.05,0.049,0.043,0.045,0.057,0.079,0.091,0.088,0.083,0.077,0.066,0.056,0.051,0.047,0.041
LAUST100000000000003,Delaware,0.088,0.085,0.074,0.072,0.076,0.078,0.084,0.077,0.063,0.051,0.043,0.031,0.031,0.035,0.047,0.062,0.054,0.051,0.048,0.043,0.051,0.04,0.037,0.034,0.037,0.035,0.04,0.043,0.04,0.041,0.036,0.034,0.049,0.083,0.084,0.075,0.072,0.067,0.057,0.048,0.045,0.045,0.038
LAUST120000000000003,Florida,0.092,0.082,0.067,0.059,0.061,0.067,0.084,0.085,0.064,0.06,0.058,0.053,0.051,0.056,0.061,0.075,0.082,0.071,0.064,0.055,0.052,0.048,0.043,0.039,0.037,0.047,0.056,0.052,0.046,0.037,0.032,0.04,0.063,0.104,0.111,0.1,0.085,0.073,0.063,0.054,0.048,0.042,0.036
