State,2003,2005,2007,2009,2011,2013,2015,2017
United States,218.2361952,218.9834627,220.9889296,220.94494,221.2145633,221.832168,222.5177824,220.81
Alabama,207.0838476,207.752033,216.3889539,216.2733559,220.2734133,218.5759534,217.0490898,216.42
Alaska,211.5471536,211.0613186,214.4769544,211.1273683,207.9236959,209.3472882,212.7926002,207.04
Arizona,208.8728014,207.1427366,209.5206243,209.9892695,212.3950499,213.1341315,215.3113365,215.47
Arkansas,213.6153045,217.0715289,217.0278177,216.1515814,216.514864,218.5238853,218.0774962,216.11
California,205.6324371,206.5120265,208.522186,209.7624054,211.358636,212.5459679,212.6779485,215.42
Colorado,223.660982,223.65613,223.7326529,225.6966406,223.4338436,226.6632196,224.0232249,224.69
Connecticut,228.340615,225.7530197,227.2036492,228.9721167,227.4273043,229.5815994,228.9475434,228.36
Delaware,223.9288114,225.8384591,225.0705423,225.5130868,225.1305111,225.7716512,223.6986968,221.48
Florida,218.0144882,219.4652222,223.5349268,225.6734073,224.5285854,227.4631766,227.188969,228.27
Georgia,213.5972193,214.4309205,218.8881713,217.8481057,220.8107201,221.8367125,222.0134973,219.68
Hawaii,208.2595675,209.5787676,213.496555,210.6164187,213.6145712,214.8438799,215.124313,216.36
Idaho,218.2598855,221.8595114,223.4040653,221.0229244,220.8297706,219.302986,221.6900662,222.79
Illinois,216.304288,216.48972,219.3868114,219.16578,219.3574983,218.5401839,222.0222677,220.37
Indiana,220.4064911,218.0725333,221.6730923,222.6594808,220.7313427,225.3323408,227.2788913,226.42
Iowa,223.2711298,220.8094002,224.8947954,221.4222981,220.707447,223.8158046,223.6293988,221.75
Kansas,220.1432297,220.4687493,224.6583622,223.9242133,223.5650912,223.3863688,221.0898804,223.27
Kentucky,219.0444173,219.9268179,222.4323142,225.6062424,225.1350629,224.4275405,228.0551683,224.08
Louisiana,204.7294875,209.1656583,207.4068055,207.4861372,210.4107263,210.4549632,216.1993372,211.6
Maine,223.8594938,224.5777722,225.5440458,223.790428,222.0373322,224.833289,223.7286079,221.39
Maryland,218.6737598,220.0295858,224.7812651,226.0477839,230.7828412,232.0559731,222.9441896,225.05
Massachusetts,227.6042594,231.2794393,235.7534621,233.7494631,236.7738666,232.373156,235.2754234,235.7
Michigan,218.7890567,218.2606891,220.1184528,218.2355503,218.8608104,217.3651677,216.3066302,217.75
Minnesota,222.6089623,225.2265781,224.9170043,223.3366618,222.3086724,227.0307418,223.35292,224.54
Mississippi,205.4644068,204.393607,207.8095188,210.5065175,209.1880201,208.5185365,214.1106869,215.2
Missouri,222.2602301,221.1686228,220.7768279,223.8423578,220.346171,222.3341859,222.7255168,222.68
Montana,222.7465416,224.5521798,226.6665326,224.6517501,225.1442162,222.9827493,224.7573935,222.33
Nebraska,220.6118021,221.3774628,222.9025543,222.5233073,223.311726,223.2527851,226.6346109,224.1
Nevada,206.9596827,207.1869744,210.8190091,211.140589,212.5751917,213.7553136,214.4255845,214.84
New Hampshire,227.7895085,227.4383241,229.0171734,229.1445204,230.3926764,231.9983664,231.9498476,228.9
New Jersey,225.073328,223.2983935,230.646972,229.3944864,231.2376297,228.7197441,229.4876744,232.94
New Mexico,203.1853126,206.7916207,211.6318846,207.6457308,208.0141194,205.7564054,207.2404464,207.7
New York,222.1882071,222.6952,223.7520273,224.3687488,222.4938109,223.8133626,222.6463032,221.88
North Carolina,221.2205797,217.1344487,217.9340426,219.2960459,221.3569636,222.2277152,225.8105909,223.93
North Dakota,221.6422457,224.8108467,226.3254811,225.9674719,225.5775263,224.083385,224.6919844,221.52
Ohio,221.8657991,222.5332538,225.6669878,224.5321781,223.8282139,223.8877461,224.9304197,225.26
Oklahoma,213.5793571,213.8614501,216.955654,217.1906276,215.4775857,216.9888765,221.8305101,216.59
Oregon,217.6145353,216.8999802,215.0173234,218.1423405,216.4401544,219.1326742,220.22272,217.53
Pennsylvania,218.6984275,222.7719804,226.3536582,223.6794399,227.2364632,226.4023236,226.6707741,224.92
Rhode Island,216.4940152,216.4398673,218.7614449,222.7048852,222.4815969,222.8022398,225.4855367,223.35
South Carolina,214.8077245,213.2035072,213.8365272,215.9422982,214.8998089,213.6465439,217.9696765,213.13
South Dakota,222.2731786,222.3986921,223.3985267,222.1665928,219.8144463,217.9307449,220.4695246,221.75
Tennessee,211.9475411,214.2212693,215.7492686,216.7378111,214.6402149,219.7353947,218.6132644,218.95
Texas,214.8080056,218.733824,219.6043131,218.8582724,218.3208446,216.9095971,217.942913,214.88
Utah,219.2703384,221.3109271,221.2614281,219.2041302,220.4160345,222.7676355,226.1430749,225.16
Vermont,226.1217466,226.886251,228.2485382,228.7357836,226.7716427,227.9865191,230.0986166,226.45
Virginia,223.3403592,225.8137107,227.1367249,226.527568,226.3784347,228.5557377,228.971255,227.6
Washington,221.0966951,223.4863979,223.9993368,221.3301104,220.528788,225.0488633,225.8928891,223.12
West Virginia,219.1795245,214.7670664,215.1305555,214.5202002,214.3860242,214.6634013,216.2532879,217.32
Wisconsin,220.8334276,221.1642265,223.3180098,220.1355406,221.2399069,220.8181034,223.3563555,219.61
Wyoming,222.0751664,223.262146,225.2894833,222.6521963,224.0622781,225.848975,228.1608028,226.83
