State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,409602,411419,427172,453482,469520,481562,489862,497636,508166,517525,537726,567778,602535,628750
Alabama,5728,5667,5342,5244,5474,5893,6117,6171,6362,6719,7009,7866,8034,8566
Alaska,418,444,417,431,475,462,530,506,517,579,623,712,628,712
Arizona,5572,5492,6510,7591,9028,9597,9844,10543,10952,12029,13565,15287,19123,20496
Arkansas,2465,2482,2730,2837,2806,2841,2770,2796,2798,2857,3006,3339,3670,3749
California,47722,48866,52216,54473,56241,58549,60487,60934,63002,63307,65361,68311,72049,75907
Colorado,9082,8985,9666,9931,10202,10503,11381,11459,11773,11287,10975,11449,12321,12901
Connecticut,5312,5307,5390,5818,6160,6093,6424,6626,6858,6980,7116,7387,7856,8055
Delaware,1569,1467,1641,1619,1608,1670,1755,1632,1693,1707,1699,1938,1973,2187
Florida,14648,15012,15903,17278,19376,19931,20996,21595,22486,23275,24606,26276,28370,29753
Georgia,9545,9657,10160,11180,12730,11924,11776,12065,12334,12382,13085,14074,14830,15977
Hawaii,1695,1627,1607,1584,1800,1811,1894,1833,1954,2013,1831,1967,1986,2271
Idaho,1523,1425,1506,1789,1701,1974,2163,2194,2190,2361,2498,2465,2725,3135
Illinois,17107,17320,17611,18870,18809,20030,20194,20136,20293,20376,20999,21439,22269,22986
Indiana,9923,9708,10316,10828,11046,11463,11400,11713,11519,11259,12120,13309,13904,14366
Iowa,5679,5496,5686,6071,6144,6260,6251,6455,6984,7770,9891,11864,12635,12349
Kansas,4461,4667,4514,4819,4991,5025,4880,4959,4816,4924,4899,4846,5258,5279
Kentucky,4495,4376,4668,4530,4760,4887,5182,5247,5225,5311,5338,5644,6113,6338
Louisiana,5867,5808,5976,6307,6130,6284,5792,6254,6104,6048,5813,6240,6463,6776
Maine,2187,2121,2207,2467,2353,2518,2531,2605,2743,2705,2952,3123,3263,3054
Maryland,8688,8981,9383,10165,10838,11258,11393,11214,11344,11654,12073,12626,13584,14212
Massachusetts,16421,16659,16890,17394,17695,18108,18313,18392,19013,19035,19778,20505,21476,22452
Michigan,14498,14604,15119,16393,16694,16493,16523,16666,17507,17700,18384,18545,19290,19669
Minnesota,7599,7694,8088,8378,8878,9490,9746,9649,10134,10229,10659,11156,11972,12555
Mississippi,2967,3029,3092,2904,3046,3002,3015,3149,3127,3203,3304,3389,3680,3660
Missouri,8630,8820,9456,9747,9997,9961,10012,10128,10038,10345,10529,10941,11539,12020
Montana,1829,1804,1854,2023,1977,1895,1848,1921,1866,1959,1797,1971,1886,2121
Nebraska,2781,2679,2581,2723,2830,3168,3162,3170,3276,3286,3385,3521,3672,3746
Nevada,1050,973,1058,1152,1359,1365,1726,1682,1924,1913,2021,2195,2348,2415
New Hampshire,2875,2556,2507,2683,2896,2933,2919,2977,2904,3030,3202,3397,3480,3605
New Jersey,10974,10753,11215,11823,12231,12063,11909,11875,12018,12325,12863,13101,14221,14650
New Mexico,2022,1888,1835,2069,2066,2134,2056,2146,2051,2180,2198,2403,2525,2604
New York,33013,34172,34048,37897,37819,38504,38249,38709,39441,40610,42193,44178,45611,47691
North Carolina,12456,12267,12892,13181,13982,14078,13908,14742,15143,15503,16055,17317,18315,18921
North Dakota,1358,1236,1297,1397,1343,1325,1308,1352,1351,1346,1436,1430,1534,1601
Ohio,14447,14576,14984,15789,16224,16291,16459,16945,16542,16932,17598,18595,20000,19519
Oklahoma,4238,4313,4443,4232,4718,5002,5171,5239,5139,5251,5027,5215,5579,5640
Oregon,5593,5406,5666,5892,6366,6405,6619,6732,6660,6666,7012,7373,8127,8714
Pennsylvania,21766,21498,22337,24068,24699,25384,25832,26049,26799,27333,27950,29095,30024,31657
Rhode Island,2606,2445,2626,3016,3133,3170,3351,3089,3289,3302,3399,3540,3669,3842
South Carolina,5086,5057,5256,5529,5438,5767,5890,5941,6053,6257,6503,7108,7229,7833
South Dakota,1627,1499,1542,1551,1660,1617,1674,1701,1754,1682,1758,1762,1830,1869
Tennessee,6835,6573,6929,7340,7363,7404,7311,7410,7681,7973,8216,8673,9365,9498
Texas,21702,21745,22389,24446,25254,26391,26893,27662,28326,28743,29917,31589,33203,34967
Utah,5436,5317,5932,6362,6590,6815,6773,7054,6843,6948,7094,7761,8255,8426
Vermont,1848,1864,1855,1903,1909,2058,2073,2170,2213,2415,2610,2662,2786,2835
Virginia,12636,12731,12711,13194,13256,13882,14361,14539,14988,15370,16107,17626,19313,20351
Washington,8128,8273,8685,9301,9743,10389,10412,10805,10699,10980,11461,11936,12766,13761
West Virginia,2337,2283,2352,2452,2297,2377,2514,2883,3123,3046,3318,3675,4086,4427
Wisconsin,9054,9292,9395,9982,10413,10378,10582,10974,10991,11254,11349,11897,12265,13028
Wyoming,685,601,624,620,615,557,657,605,675,649,664,724,793,795
