State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,489296,505424,535979,562632,570091,577528,593041,600553,609371,607686,608270,604786,606734,612646
Alabama,7047,7176,7615,8153,8302,8643,8473,8596,8586,7524,7623,9344,8916,9093
Alaska,645,663,784,811,891,895,921,1014,1163,1171,1224,1239,1202,1245
Arizona,7212,7520,7909,7894,7643,7692,8190,9030,9120,9019,9519,10036,10410,10264
Arkansas,2677,2729,2715,3030,3300,3383,3760,3554,3721,3691,3256,3157,3266,3060
California,61006,62709,66994,72906,72617,72578,73188,74194,75839,72965,72342,71371,70810,73689
Colorado,9779,10275,10931,12070,11751,10378,10716,11242,11248,12020,12406,12989,12897,13090
Connecticut,8032,8801,8951,9283,9277,9198,9529,10578,10814,10619,10094,8867,8576,9159
Delaware,1574,1596,1689,1807,1842,1954,2045,1876,1918,2100,2123,2072,2096,2164
Florida,19874,21349,22898,24568,25110,25761,26713,27181,27534,27679,28439,27589,27464,27354
Georgia,10033,10520,11389,11823,11805,11919,12248,12837,13225,12798,12715,13392,14033,14143
Hawaii,1587,1655,1869,1949,2108,2092,2058,2036,2273,2333,2341,2568,2367,2205
Idaho,1517,1781,1945,2262,2231,2315,2141,2029,2134,2157,2269,2244,2047,1973
Illinois,26650,27901,28774,27724,28152,28030,29186,29693,30267,30130,29293,29271,28869,29116
Indiana,9262,9987,10452,10590,10957,11775,12039,11378,11664,11531,12708,12621,13200,13224
Iowa,5425,5406,5566,5847,5949,5749,5890,5966,6312,6149,6399,6053,5799,5942
Kansas,6860,7054,7355,7509,7250,7001,6974,6549,6867,6653,6454,6269,6132,6034
Kentucky,4395,5231,5885,6037,5969,6363,6598,5883,5477,5503,5494,5443,5333,5241
Louisiana,7068,7388,7898,8527,8767,5428,7159,6757,6852,7247,7289,7165,6966,7302
Maine,647,660,690,734,736,744,728,812,831,817,755,827,696,702
Maryland,11364,11432,12718,13384,13942,14273,14528,14845,15164,14938,15703,15564,15278,14908
Massachusetts,23693,24367,26050,26683,27291,27897,28755,28739,28420,28454,28742,28893,30004,31772
Michigan,17796,18191,19353,20205,19622,19278,19559,19687,19058,18434,19721,19012,19007,19698
Minnesota,8287,8196,8821,8945,11144,14233,16788,17505,19487,20909,16983,16818,16419,15435
Mississippi,3124,3132,3315,3204,3686,3878,3680,3560,3564,3726,3951,4000,3931,3852
Missouri,8190,8407,9133,9563,9948,10457,11411,11964,12749,10551,9614,9567,10023,10607
Montana,1268,1331,1399,1517,1521,1546,1547,1558,1557,1599,1500,1459,1438,1404
Nebraska,2947,2949,3188,3340,3362,3390,3550,3695,3872,4035,4238,3841,3849,4054
Nevada,1616,1772,1941,2201,2304,2367,2554,2711,2947,2799,2608,2330,2366,2252
New Hampshire,1611,1592,1747,1816,1862,1877,1862,1900,1859,1856,1919,1858,2008,2018
New Jersey,12699,12621,13029,13176,13505,13651,13972,13981,14530,15091,13664,12920,13566,13511
New Mexico,3887,4017,3787,4236,4327,4344,4265,4453,4417,4189,4305,4228,4162,4057
New York,43249,44276,45760,47781,48293,50430,52243,52300,51792,51379,52139,52202,51433,51139
North Carolina,12597,12930,13537,13991,14477,15174,15602,16943,17195,17053,17654,18200,18289,17890
North Dakota,1231,1274,1290,1837,1771,1882,1799,1853,2090,2232,1874,1897,1954,1992
Ohio,19304,19496,20484,21409,21726,22725,21677,23859,23659,24122,23751,23364,23661,23517
Oklahoma,4044,4745,5126,5138,4946,4872,4791,5200,5410,5426,5956,6148,6047,6003
Oregon,4333,4503,4850,4972,4731,5071,5218,5371,5575,5672,5770,5628,5879,6106
Pennsylvania,22540,22796,25562,26854,27347,27002,26993,26098,25342,25539,25765,24718,26030,27030
Rhode Island,1972,1899,1999,2148,2272,2284,2199,2249,2299,2442,2583,2504,2510,2457
South Carolina,3744,3793,3872,3944,3925,3805,4018,3979,4076,4408,4498,4732,4869,5200
South Dakota,1124,1192,1244,1219,1298,1256,1292,1072,1183,1584,1579,1435,1527,1451
Tennessee,6548,7062,7390,8046,7941,8214,8051,8006,8052,7691,7828,7886,8033,7594
Texas,33644,33954,37169,39975,39855,40612,40816,41377,42490,43767,45720,45362,46100,47114
Utah,4538,4746,4972,5455,5326,5853,6052,5882,5987,6032,5767,6149,5830,5862
Vermont,730,697,701,727,722,752,761,798,749,787,779,736,694,630
Virginia,13605,14632,15010,15439,15191,15139,15860,16517,16603,16949,17050,16801,16174,15890
Washington,7196,7233,7532,8235,8046,8256,8555,8206,8373,9016,9269,9447,9586,9634
West Virginia,2562,2555,2831,2940,2884,2903,2920,2926,2811,2719,2592,2436,2447,2418
Wisconsin,9566,9807,9957,10437,10583,10579,10522,10454,9974,10129,10105,9941,10173,9843
Wyoming,862,899,943,1002,994,1025,964,906,917,1009,1100,1125,1154,1071
