State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,0.412,0.424,0.435,0.45,0.47,0.448,0.453,0.485,0.47,0.448,0.431,0.459,0.477,0.478,0.468,0.459,0.459,0.456,0.454,0.45,0.454,0.469,0.474,0.484,0.489,0.468,0.459,0.441,0.433,0.429,0.432,0.458
Alabama,0.384,0.377,0.398,0.416,0.445,0.43,0.433,0.501,0.451,0.447,0.421,0.461,0.465,0.479,0.472,0.469,0.45,0.433,0.426,0.42,0.44,0.452,0.462,0.468,0.477,0.475,0.473,0.445,0.445,0.421,0.429,0.448
Alaska,0.363,0.367,0.425,0.464,0.429,0.368,0.314,0.294,0.369,0.359,0.422,0.445,0.499,0.493,0.474,0.427,0.468,0.437,0.431,0.439,0.436,0.469,0.439,0.506,0.481,0.459,0.456,0.438,0.422,0.438,0.454,0.465
Arizona,0.37,0.449,0.406,0.423,0.434,0.431,0.432,0.422,0.41,0.399,0.387,0.424,0.449,0.461,0.445,0.439,0.435,0.439,0.428,0.434,0.416,0.457,0.454,0.468,0.489,0.472,0.462,0.442,0.4,0.383,0.374,0.411
Arkansas,0.356,0.448,0.423,0.429,0.431,0.413,0.426,0.454,0.438,0.406,0.422,0.444,0.47,0.494,0.46,0.449,0.441,0.437,0.419,0.405,0.422,0.452,0.473,0.473,0.469,0.46,0.456,0.434,0.439,0.442,0.433,0.473
California,0.407,0.402,0.424,0.44,0.477,0.46,0.458,0.469,0.47,0.453,0.427,0.444,0.447,0.431,0.415,0.419,0.43,0.44,0.447,0.443,0.446,0.467,0.464,0.467,0.47,0.468,0.459,0.444,0.429,0.422,0.425,0.455
Colorado,0.368,0.447,0.404,0.414,0.425,0.384,0.386,0.395,0.4,0.389,0.409,0.461,0.493,0.494,0.485,0.475,0.458,0.457,0.439,0.448,0.438,0.465,0.46,0.47,0.469,0.457,0.457,0.437,0.427,0.426,0.418,0.445
Connecticut,0.487,0.482,0.501,0.497,0.539,0.52,0.51,0.546,0.531,0.47,0.427,0.435,0.46,0.484,0.485,0.509,0.5,0.495,0.492,0.494,0.489,0.519,0.513,0.52,0.519,0.497,0.492,0.458,0.449,0.465,0.461,0.474
Delaware,0.409,0.455,0.474,0.494,0.559,0.498,0.486,0.531,0.523,0.496,0.482,0.473,0.493,0.478,0.459,0.492,0.501,0.489,0.504,0.493,0.458,0.475,0.48,0.479,0.515,0.469,0.472,0.426,0.446,0.433,0.433,0.49
Florida,0.405,0.404,0.416,0.422,0.438,0.431,0.42,0.434,0.422,0.405,0.391,0.426,0.442,0.452,0.433,0.417,0.41,0.414,0.41,0.407,0.41,0.435,0.44,0.453,0.453,0.442,0.428,0.396,0.363,0.358,0.374,0.419
Georgia,0.398,0.398,0.423,0.44,0.466,0.455,0.455,0.492,0.461,0.426,0.407,0.429,0.468,0.481,0.471,0.449,0.449,0.444,0.434,0.426,0.436,0.461,0.457,0.471,0.485,0.461,0.459,0.43,0.414,0.397,0.402,0.434
Hawaii,0.437,0.452,0.45,0.433,0.477,0.479,0.47,0.498,0.515,0.485,0.455,0.519,0.505,0.458,0.449,0.439,0.442,0.428,0.449,0.467,0.463,0.514,0.537,0.512,0.514,0.521,0.508,0.468,0.46,0.449,0.462,0.476
Idaho,0.347,0.411,0.39,0.385,0.426,0.39,0.408,0.475,0.504,0.486,0.454,0.528,0.52,0.512,0.496,0.483,0.455,0.451,0.443,0.45,0.447,0.474,0.492,0.508,0.525,0.501,0.474,0.455,0.431,0.373,0.365,0.434
Illinois,0.441,0.434,0.459,0.474,0.498,0.49,0.494,0.54,0.541,0.506,0.49,0.509,0.52,0.517,0.508,0.501,0.498,0.493,0.494,0.485,0.494,0.513,0.499,0.513,0.513,0.497,0.496,0.471,0.458,0.458,0.456,0.486
Indiana,0.432,0.395,0.446,0.455,0.47,0.462,0.534,0.535,0.518,0.487,0.457,0.49,0.513,0.526,0.512,0.494,0.486,0.466,0.459,0.452,0.46,0.481,0.487,0.492,0.496,0.48,0.474,0.444,0.455,0.451,0.449,0.488
Iowa,0.427,0.42,0.44,0.443,0.459,0.442,0.435,0.531,0.505,0.483,0.482,0.517,0.535,0.527,0.512,0.469,0.495,0.497,0.495,0.477,0.524,0.504,0.524,0.534,0.545,0.477,0.475,0.488,0.481,0.488,0.489,0.505
Kansas,0.425,0.4,0.419,0.444,0.458,0.433,0.431,0.474,0.447,0.441,0.433,0.465,0.492,0.484,0.473,0.473,0.463,0.444,0.452,0.469,0.465,0.507,0.494,0.496,0.509,0.467,0.471,0.459,0.451,0.472,0.466,0.479
Kentucky,0.396,0.395,0.403,0.43,0.463,0.434,0.427,0.517,0.506,0.479,0.429,0.501,0.502,0.479,0.467,0.469,0.47,0.459,0.457,0.452,0.448,0.47,0.482,0.492,0.501,0.459,0.468,0.45,0.444,0.447,0.446,0.474
Louisiana,0.409,0.483,0.443,0.44,0.439,0.399,0.398,0.44,0.39,0.409,0.412,0.464,0.496,0.499,0.492,0.484,0.474,0.462,0.451,0.447,0.458,0.477,0.479,0.499,0.483,0.467,0.479,0.46,0.474,0.475,0.469,0.504
Maine,0.435,0.431,0.469,0.495,0.493,0.506,0.512,0.543,0.506,0.469,0.425,0.44,0.475,0.478,0.486,0.473,0.476,0.49,0.484,0.49,0.489,0.493,0.504,0.509,0.534,0.503,0.442,0.462,0.445,0.455,0.454,0.468
Maryland,0.45,0.462,0.473,0.486,0.516,0.496,0.504,0.6,0.525,0.483,0.453,0.478,0.495,0.493,0.492,0.474,0.476,0.466,0.473,0.475,0.475,0.513,0.515,0.529,0.524,0.507,0.491,0.47,0.463,0.441,0.454,0.487
Massachusetts,0.485,0.482,0.519,0.524,0.552,0.528,0.529,0.543,0.513,0.46,0.419,0.442,0.471,0.493,0.514,0.517,0.519,0.521,0.508,0.508,0.488,0.508,0.532,0.515,0.53,0.476,0.419,0.457,0.475,0.473,0.476,0.511
Michigan,0.435,0.428,0.461,0.479,0.508,0.487,0.503,0.527,0.514,0.495,0.478,0.496,0.519,0.533,0.525,0.499,0.51,0.509,0.498,0.484,0.469,0.491,0.488,0.477,0.474,0.463,0.45,0.428,0.422,0.435,0.445,0.473
Minnesota,0.464,0.453,0.469,0.478,0.499,0.474,0.471,0.506,0.501,0.491,0.48,0.522,0.553,0.531,0.53,0.518,0.517,0.52,0.516,0.512,0.51,0.524,0.522,0.537,0.527,0.494,0.481,0.452,0.454,0.448,0.461,0.49
Mississippi,0.407,0.392,0.415,0.414,0.443,0.413,0.428,0.484,0.461,0.409,0.397,0.447,0.453,0.472,0.453,0.433,0.439,0.443,0.437,0.422,0.416,0.452,0.452,0.468,0.475,0.43,0.454,0.434,0.435,0.432,0.433,0.462
Missouri,0.406,0.4,0.434,0.44,0.462,0.449,0.451,0.508,0.524,0.455,0.44,0.469,0.482,0.472,0.474,0.45,0.442,0.442,0.438,0.432,0.446,0.466,0.475,0.494,0.491,0.435,0.423,0.391,0.392,0.423,0.417,0.427
Montana,0.37,0.448,0.426,0.445,0.438,0.397,0.421,0.424,0.426,0.451,0.43,0.482,0.501,0.509,0.494,0.488,0.477,0.457,0.465,0.464,0.473,0.506,0.513,0.537,0.536,0.513,0.506,0.479,0.465,0.44,0.417,0.463
Nebraska,0.426,0.441,0.432,0.463,0.467,0.462,0.46,0.57,0.547,0.488,0.477,0.509,0.535,0.518,0.498,0.492,0.506,0.481,0.481,0.475,0.534,0.547,0.539,0.571,0.572,0.507,0.496,0.503,0.496,0.493,0.508,0.528
Nevada,0.381,0.427,0.41,0.392,0.42,0.412,0.415,0.418,0.435,0.447,0.422,0.451,0.45,0.451,0.43,0.417,0.416,0.417,0.415,0.412,0.407,0.426,0.419,0.424,0.44,0.424,0.417,0.394,0.371,0.365,0.354,0.403
New Hampshire,0.441,0.419,0.481,0.495,0.497,0.526,0.504,0.527,0.473,0.397,0.371,0.395,0.432,0.472,0.476,0.496,0.5,0.518,0.506,0.486,0.482,0.514,0.497,0.514,0.478,0.471,0.471,0.444,0.44,0.447,0.451,0.484
New Jersey,0.469,0.473,0.492,0.505,0.533,0.507,0.513,0.525,0.511,0.464,0.441,0.465,0.484,0.496,0.501,0.492,0.492,0.489,0.48,0.486,0.483,0.506,0.505,0.499,0.513,0.47,0.468,0.439,0.432,0.432,0.436,0.453
New Mexico,0.37,0.455,0.418,0.432,0.444,0.394,0.409,0.443,0.433,0.415,0.409,0.453,0.487,0.494,0.477,0.443,0.447,0.447,0.423,0.412,0.444,0.458,0.459,0.49,0.505,0.464,0.468,0.457,0.453,0.439,0.432,0.449
