State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
United States,0.792286,0.8132553,0.8113687,0.8067361,0.8008176,0.7946547,0.7958446,0.7999495,0.8071768,0.8181108,0.8249152,0.8378477,0.8421261,0.8439295,0.8452281,0.8472694,0.8464368,0.8456271,0.8439717,0.8460967,0.8500931,0.8496386,0.8542806,0.8571853,0.8563663,0.8598559,0.8668407,0.8757957,0.8801951,0.8862857,0.888957,0.8913792,0.8918035
Alabama,0.802488669,0.820397685,0.821286628,0.813704809,0.805757782,0.801696574,0.798464529,0.801624866,0.810635162,0.816274218,0.825195735,0.839847772,0.847226007,0.846627842,0.849019981,0.851126895,0.85121693,0.852559953,0.855527143,0.86024966,0.857358618,0.857575357,0.860826056,0.864916005,0.86425334,0.868388965,0.874443877,0.884844279,0.891704884,0.898605318,0.901010034,0.901908936,0.899062034
Alaska,0.686846328,0.690005603,0.695835993,0.711896286,0.71060806,0.713432324,0.707973212,0.68112912,0.734252506,0.767248654,0.784649912,0.800252534,0.819685131,0.823824272,0.830358504,0.841677557,0.840263513,0.836662896,0.829546634,0.833057493,0.831783992,0.8303435,0.83323022,0.838428727,0.863107942,0.865959821,0.873994289,0.882600978,0.886279008,0.888821075,0.891762916,0.89457603,0.91006519
Arizona,0.730161991,0.742066361,0.734169558,0.728384212,0.726003359,0.723381244,0.736794896,0.753381249,0.762687129,0.76364888,0.776911081,0.798117901,0.803094452,0.803084858,0.804934236,0.794757049,0.811481557,0.803773018,0.802462719,0.80273041,0.8144356,0.806653476,0.813313195,0.814380745,0.823620017,0.834418631,0.843091498,0.852230297,0.857490565,0.86895998,0.872734303,0.875256984,0.876743347
Arkansas,0.780649041,0.79429023,0.793360476,0.807801925,0.81729209,0.800390482,0.797866384,0.804881613,0.816277332,0.822211087,0.830019528,0.837162361,0.839509795,0.848832172,0.849076512,0.851440508,0.851403523,0.851495632,0.849511433,0.861950325,0.871134757,0.869553301,0.873495941,0.875504229,0.873067997,0.871216444,0.878190237,0.883578239,0.884832035,0.888783014,0.891792595,0.89896867,0.899848795
California,0.739817665,0.77421457,0.770866464,0.763892349,0.762690865,0.7558701,0.759215117,0.76626106,0.77485966,0.790703437,0.793241879,0.809283463,0.815850034,0.823639914,0.823045129,0.824673827,0.82308953,0.81795466,0.812520547,0.812249605,0.821762831,0.825697574,0.832681967,0.833969877,0.829202029,0.837027275,0.847724224,0.857349046,0.865381943,0.872745345,0.87591725,0.876781341,0.876631801
Colorado,0.692541612,0.737556297,0.735994833,0.735753903,0.741517616,0.741081074,0.749406375,0.776948188,0.784419295,0.788146616,0.796320354,0.802059223,0.805669786,0.807022669,0.809072587,0.812224543,0.813588394,0.81120822,0.812247221,0.817077171,0.820338174,0.820088905,0.829067599,0.834238647,0.835141179,0.839924124,0.846771513,0.85417452,0.859385689,0.865497513,0.871942816,0.879081319,0.878804947
Connecticut,0.846912433,0.84704327,0.847496077,0.845605874,0.837755896,0.824751231,0.829564892,0.825671519,0.833278053,0.847242278,0.857180052,0.861155422,0.873978464,0.875362479,0.874381994,0.869531547,0.877058881,0.877049078,0.872561869,0.872638561,0.882158564,0.880671677,0.885758505,0.889233313,0.893551668,0.889642224,0.895791635,0.90259035,0.906046826,0.908637893,0.913405065,0.912611058,0.913390806
Delaware,0.83855454,0.860228962,0.854498122,0.853323879,0.788453937,0.829743703,0.834728786,0.832258403,0.836278669,0.841218699,0.857912119,0.870102536,0.805423088,0.870263365,0.86454614,0.85502633,0.852917963,0.854175078,0.855700024,0.867501785,0.87956263,0.876151107,0.878776025,0.880855319,0.878866047,0.875981711,0.874717775,0.882444245,0.884801814,0.890941369,0.898239853,0.90305447,0.897527502
Florida,0.722807566,0.747159666,0.739938051,0.736184555,0.734048479,0.730938746,0.739204321,0.743482819,0.749456553,0.76078665,0.771442104,0.780212396,0.786863832,0.791273532,0.801298855,0.806636865,0.80806943,0.815752937,0.818344292,0.824340996,0.825246839,0.818591812,0.813912773,0.818216007,0.817672488,0.821597318,0.835657266,0.848706287,0.849532677,0.86123639,0.862186546,0.862914164,0.860017971
Georgia,0.807122885,0.817865178,0.815054576,0.805112022,0.803929295,0.793072993,0.793704632,0.797926364,0.803907492,0.817849689,0.818888302,0.832715067,0.831741729,0.836257932,0.833429372,0.837956566,0.838224288,0.83524033,0.836106344,0.83823708,0.844370543,0.842741452,0.84655137,0.845667962,0.841103921,0.847170335,0.857815381,0.868482578,0.87681712,0.879279727,0.88036373,0.885783034,0.885794259
Hawaii,0.726671399,0.76700631,0.7723425,0.781750913,0.793285164,0.786380499,0.788448899,0.785045781,0.776246541,0.784951381,0.798026008,0.816102269,0.827022175,0.829337205,0.827420988,0.837326925,0.836577505,0.837417382,0.847457076,0.83880075,0.856770194,0.85095577,0.857839752,0.854114243,0.85071039,0.859740938,0.870820223,0.883716561,0.878231582,0.888208649,0.893278986,0.899124115,0.897854099
Idaho,0.69196693,0.748731406,0.737680605,0.771272624,0.775343999,0.772991369,0.770447037,0.779810612,0.779565548,0.785986642,0.796928249,0.8019775,0.809508306,0.810199078,0.812264582,0.810304872,0.7980339,0.802870925,0.798763322,0.792070706,0.79826179,0.794567767,0.805111505,0.802006367,0.801221732,0.794152383,0.824823666,0.836041198,0.841965989,0.865415689,0.873676406,0.8789877,0.879275935
Illinois,0.831823738,0.847542187,0.843674869,0.838327783,0.832676249,0.823743179,0.818221724,0.823811659,0.829329741,0.838862374,0.840238661,0.854411049,0.856957896,0.859523336,0.864018663,0.867458177,0.869388001,0.870189454,0.867922811,0.869677004,0.869608147,0.868838296,0.872506549,0.877416448,0.877750781,0.880128511,0.886366946,0.893142314,0.897037174,0.901559068,0.902946821,0.90539205,0.906527685
