State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,0.0389,0.0401,0.0402,0.0408,0.0416,0.0428,0.0443,0.0437,0.0452,0.0458,0.0463,0.0468,0.0474,0.0481,0.0483,0.0489
Alabama,0.031,0.0323,0.0335,0.0346,0.0361,0.0353,0.0368,0.0379,0.0388,0.0399,0.0416,0.0401,0.0389,0.0379,0.0382,NA
Alaska,0.0365,0.0367,0.0374,0.0353,0.0397,0.0431,0.048,0.0501,0.0501,0.051,0.0471,0.0459,0.0457,0.0443,0.0465,0.0459
Arizona,0.0405,0.0415,0.0396,0.0381,0.0387,0.0387,0.0415,0.0435,0.0485,0.0484,0.0498,0.0506,0.0517,0.0522,0.0519,NA
Arkansas,0.0191,0.0213,0.0216,0.0213,0.0243,0.0249,0.0274,0.0257,0.0258,0.0256,0.0266,0.0277,0.0284,0.0279,0.0297,0.0293
California,0.0468,0.0482,0.0487,NA,0.0496,0.052,0.0547,0.0542,0.057,0.0575,0.0577,0.0583,NA,0.0584,0.0567,0.0582
Colorado,0.0592,0.0589,0.0586,0.0606,0.0615,0.0638,0.0663,0.0664,0.0664,0.0669,0.0671,0.0679,0.0683,0.0699,0.0707,0.0714
Connecticut,0.0499,0.0511,0.0509,0.0478,0.0477,0.0473,0.048,0.0469,0.0476,0.0484,0.0482,0.048,0.0479,0.0482,0.0501,0.0507
Delaware,0.043,0.0445,0.0431,0.0508,0.052,0.0525,0.0538,0.0526,0.0556,0.0578,0.0535,0.0538,0.0524,0.0547,0.0598,0.0582
Florida,0.0306,0.0314,0.0316,0.0313,0.0307,0.0319,0.0336,0.0337,0.0343,0.0341,0.0336,0.0336,0.0343,0.0345,0.0349,0.0354
Georgia,0.0382,0.0362,0.0352,0.0341,0.0337,0.0362,NA,0.0388,0.0391,0.039,0.0415,0.0427,NA,0.0466,0.0466,0.0479
Hawaii,0.0289,0.0307,0.0299,0.0316,0.0307,0.0307,0.0324,0.0341,0.0348,0.0356,0.0351,0.0341,0.034,0.0344,0.0341,0.0333
Idaho,0.0393,0.0394,0.04,NA,0.0379,0.0358,0.0383,0.0406,0.0438,0.0422,0.0422,0.0421,0.0441,0.0438,0.0427,0.0428
