State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
United States,4961540,5174260,5233520,5407710,5591990,5781460,5785710,5549980,5794980,5968240,6139220,6318580
Alabama,56380,59880,62790,66100,69650,68580,68670,68450,70290,72880,76650,74480
Alaska,10600,10870,11230,10720,11990,13260,14780,15430,15680,16260,15210,14920
Arizona,92120,98400,96410,98110,102380,102100,102820,102870,115330,116930,123410,127760
Arkansas,21340,24170,24660,24860,28460,29310,31420,29200,29350,29530,30660,32050
California,676180,703250,716530,NA,753570,791750,795240,758830,800430,821780,849510,880850
Colorado,124140,125510,126110,133730,138990,147000,148090,143210,144750,149020,154020,160700
Connecticut,81380,83840,83930,79380,80280,80290,79160,74990,76550,78450,78850,79000
Delaware,17370,18420,18010,21550,22140,22330,22200,20920,22430,23440,22030,22830
Florida,221070,235170,241000,246190,244140,248200,247070,239600,244970,248300,250330,257450
Georgia,144170,139230,137580,136470,136880,147380,NA,145220,147820,148830,160820,169940
Hawaii,16090,17630,17460,18940,18740,18830,19020,19500,20100,20930,21140,20900
Idaho,22150,23050,23880,NA,24330,23310,23520,24130,25950,25260,25850,26460
Illinois,211230,219040,221630,222470,225180,224370,221170,197120,204420,220170,226850,235380
Indiana,78410,80950,79910,80110,83080,90840,90750,90710,93640,94620,100870,104000
Iowa,37320,40060,40300,43670,45430,46180,47080,44140,48930,50950,52440,53440
Kansas,51970,52650,51630,48620,50040,54260,56200,48970,51530,50930,51240,50120
Kentucky,45230,43740,44530,44680,49030,NA,51200,48790,51990,51830,53920,54350
Louisiana,41900,42520,41030,40180,38450,41790,43630,44200,42760,45920,46750,49120
Maine,15020,14980,15500,15950,15960,17000,17910,17470,17490,17910,18840,19410
Maryland,149250,158350,160120,159470,162540,167070,169540,166700,173020,179550,186780,190080
Massachusetts,184690,190960,193180,198670,205610,217310,217690,208160,220670,229160,227780,230480
Michigan,182940,188580,192150,208520,212040,204290,187760,176570,188380,198610,207800,219630
Minnesota,117120,118590,120930,125930,129840,134440,134060,125100,130340,131690,133580,140190
Mississippi,22190,22970,23480,24910,25520,27270,25940,23770,23440,23640,24320,24860
Missouri,84150,91820,92260,96420,102170,105390,104310,102300,106930,109650,105730,106980
Montana,11450,11640,11940,13010,13240,NA,14210,14620,14960,15360,15570,15540
Nebraska,30710,31760,31530,32500,31420,31820,31790,30930,33800,34720,36480,36220
Nevada,22330,24440,24400,26930,26920,27300,27560,26840,28370,27000,26850,26890
New Hampshire,23430,25620,26840,27680,28450,29150,30550,29200,29260,28950,28460,28320
New Jersey,161420,171990,174270,176460,186120,198060,195690,185360,182210,181480,184720,188240
New Mexico,33600,32000,32530,30800,33440,34560,36950,36130,35520,35310,34900,36180
New York,272440,283150,289010,306810,322520,326510,315480,NA,310510,321480,333710,348740
North Carolina,132440,136430,134290,138790,142970,153680,158920,155030,161880,167900,173960,181030
North Dakota,8430,8460,9070,9360,9660,9450,9930,11050,12070,13120,12520,12970
Ohio,177100,181180,180900,185190,196390,206320,207930,195840,208140,NA,218030,219830
Oklahoma,44360,46320,46370,50770,51430,48900,45730,44190,47090,50420,51900,52910
Oregon,61230,64820,62030,64520,67890,70070,69630,NA,NA,75780,79040,80470
Pennsylvania,185560,195510,204270,214910,218890,227170,NA,NA,NA,NA,243850,248750
Rhode Island,18740,19330,18080,18060,18400,18090,18120,18210,19450,20180,20740,21210
South Carolina,48740,50840,50460,53230,54120,57770,57370,56230,61020,63170,65140,67300
South Dakota,9150,9530,9460,10120,11550,11870,11570,11150,11790,12000,12770,13220
Tennessee,63680,65730,66390,67040,70820,72760,68970,71850,77630,79830,NA,86680
Texas,365270,384600,389550,408710,441410,463850,470010,451390,469080,493980,514400,541060
Utah,45570,45250,45110,49690,51340,52570,51270,50830,51350,54720,57980,62810
Vermont,11420,12510,12770,12780,12760,12360,12780,12670,13100,12870,12920,13280
Virginia,209280,233590,236650,251720,254710,259280,264090,255800,267620,274280,276230,272410
Washington,150230,156780,160960,171780,183900,NA,196850,186210,196760,NA,209710,208630
West Virginia,16220,15990,16040,17150,16560,17000,16350,17070,18300,19900,19490,20110
Wisconsin,93320,93760,93590,96860,99380,101680,100850,99240,102320,103030,106210,112540
Wyoming,6130,6960,7350,7640,8110,8850,8920,8260,8440,8710,NA,9050
