State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
United States,0.04061091,0.03441437,0.03615275,0.03636629,0.03765817,0.04189229,0.03528127,0.03281907,0.03135379,0.02973922,0.0307731,0.02833688,0.03077515,0.03017115,0.029791,0.02956793,0.03227112,0.0294367,0.02749763,0.02601514,0.02948594,0.02785361,0.02751889,0.02937002,0.02975649,0.0254177,0.02368569,0.02110531,0.02172516,0.02067955,0.02008701,0.01916689,0.0206478
Alabama,0.034105596,0.030597629,0.037583125,0.03692318,0.038308129,0.044969309,0.035860041,0.031844209,0.031312136,0.029976257,0.03048313,0.027886324,0.033242635,0.030599085,0.026889154,0.029563114,0.031222351,0.030041425,0.023438299,0.022866786,0.02574174,0.026896751,0.024913533,0.026593767,0.029948178,0.025249553,0.020584361,0.019631502,0.019260842,0.018050447,0.01782638,0.019024632,0.019571269
Alaska,0.072871293,0.069663732,0.068901185,0.063604355,0.063425033,0.064546325,0.053415734,0.071156438,0.040485198,0.035344348,0.030702608,0.035067562,0.038134111,0.035535673,0.032637481,0.032769243,0.036595552,0.031481232,0.034156901,0.027961279,0.034602222,0.03544925,0.026459723,0.026272035,0.027096358,0.025380291,0.024629239,0.019561149,0.018968765,0.016649295,0.022889028,0.017995239,0.013952159
Arizona,0.059828276,0.059499445,0.052054423,0.05877189,0.052533064,0.056184394,0.046448211,0.043857373,0.038655208,0.038794167,0.039969468,0.035595087,0.040592315,0.039283146,0.036441428,0.037602805,0.039236431,0.042878377,0.034505458,0.037540434,0.033058204,0.034078781,0.031621734,0.036665976,0.037528446,0.029572569,0.029631742,0.026534029,0.029998259,0.022507127,0.023406168,0.021239175,0.023747963
Arkansas,0.04204995,0.037826175,0.041887468,0.037123781,0.03664782,0.041485822,0.035426607,0.034935069,0.031581239,0.030427728,0.032726646,0.028762351,0.035158754,0.032318316,0.029841883,0.031352364,0.033130943,0.027246082,0.028908485,0.024152084,0.02758367,0.024337063,0.024750532,0.02601895,0.028227382,0.024185252,0.021739173,0.020375255,0.022691156,0.020223801,0.017013438,0.017204577,0.019725601
California,0.051554678,0.043941335,0.041094855,0.041462646,0.043028821,0.047389922,0.040631954,0.038675081,0.037639136,0.034190131,0.038982666,0.032009553,0.035033786,0.033828177,0.033699495,0.034252802,0.036388041,0.033759296,0.033705047,0.030819264,0.034522063,0.032969423,0.032804792,0.034094335,0.034971045,0.027430075,0.025868207,0.024388682,0.022999872,0.023088257,0.022983871,0.022707069,0.02405204
Colorado,0.092124668,0.053294679,0.05097476,0.050845051,0.049879371,0.051551835,0.041849577,0.039448719,0.037726139,0.036795443,0.037480606,0.036929336,0.040904064,0.039459431,0.037757111,0.039925901,0.038910757,0.037540711,0.034553481,0.031766495,0.033254881,0.03677365,0.031338253,0.034721574,0.034302743,0.031490023,0.026746466,0.024579012,0.025815994,0.024832638,0.022808387,0.021023326,0.023019339
Connecticut,0.0283914,0.024287139,0.026837536,0.026477376,0.030757359,0.034349669,0.030050725,0.026768175,0.023439892,0.023238612,0.021990522,0.020546728,0.022287602,0.022814554,0.024199088,0.021908922,0.024656022,0.021899924,0.021739442,0.019137038,0.023353819,0.01756044,0.017903361,0.024006656,0.020684778,0.022735375,0.019783711,0.017340273,0.016970031,0.016206755,0.015747606,0.018059228,0.015613512
Delaware,0.029142482,0.023374961,0.028709668,0.028285471,0.093802525,0.041014846,0.032243867,0.02848783,0.023541421,0.03398147,0.023479051,0.021847754,0.025125903,0.027846003,0.026841201,0.027699544,0.034580597,0.028079158,0.02624767,0.020139286,0.025123623,0.024281725,0.023379557,0.024798997,0.025667254,0.030275637,0.023629264,0.023133538,0.022233825,0.018735527,0.019210372,0.019244249,0.027325999
Florida,0.059337746,0.049991604,0.053934965,0.053083466,0.054736767,0.059034615,0.050166812,0.044760812,0.044765384,0.043508143,0.043490209,0.043997304,0.042675334,0.039783595,0.038153689,0.041282138,0.037554503,0.0341499,0.031726952,0.030877746,0.03414962,0.039277534,0.03853997,0.037636916,0.040027589,0.035584213,0.02938745,0.027913354,0.031898886,0.030031643,0.028827705,0.026108659,0.026002672
