State,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United States,159.29,350.83,523.69,758.3,2299.8,4916.29,2265.69,1734.21,1569.72,1761.36,1776.96,2086.43,2420.76,2722.48,1880.17,2084.79,2817.91,2501.45,2716.41,3866.77,4307.81,3883.03,4112.62
Alabama,25.67,369.46,0,0,21.91,282.62,311.72,219.42,385.98,634.36,39.62,174.18,242.46,136.66,128.13,207.49,144.09,312.94,245.3,930.49,464.23,329.5,909.22
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.42,0,83.72,21.33,13.42,1659.68,0,0.61,30.18
Arizona,183.88,38.32,276.1,453.93,234.38,1088.44,457.45,446.29,313.82,434.42,643.65,1218.78,1124.27,1222.86,677.78,511.1,1078.9,1675.69,1351.28,1353.99,718.19,795.58,542.23
Arkansas,0,0,0,12.81,179.6,0,33.99,54.09,14.32,17.96,11.61,194.95,262.82,11.12,43.89,109.06,63.06,99.13,1095.82,440.94,264.16,337,191.49
California,613.66,1282.45,2134.97,2613.57,7895.39,15697.95,7703.78,6273.65,5455.56,5872.17,6315.54,7392.07,8269.37,9314.03,7003.99,7284.71,10724.42,9397.66,9206.04,15579.09,16647.83,15146.91,14294.6
Colorado,186.68,904.77,1352.33,1073.13,6674.05,10211.34,3385.79,1892.2,2274.89,2216.64,3218.62,3100.53,2695.33,5466.59,2900.59,2707.91,2776.97,3050.97,2221.74,3723.01,3626.78,3072.92,2929.04
Connecticut,25.89,198.82,370.94,1547.68,1885.48,4968.38,1254.22,1340.23,1070.03,734.92,871.36,1081.84,2665.83,1163.67,878.88,1223.84,1303.84,1739.33,1520.52,3350.66,1687.23,750.63,1889.73
Delaware,0,1.71,0,0,309.68,643.02,161.47,349.01,590.43,610.31,2872.07,1187.83,874.57,827.92,590.63,194.44,294.08,736.58,1022.48,554.64,1892.77,1453.54,1924.43
Florida,104.31,177.1,472.56,613.96,1515.69,2478.32,539.45,487.8,391.42,612.42,469.96,591.24,765.85,598.47,456.61,381.29,723.9,936.02,1287.88,1551.94,924.85,1526.32,984.07
Georgia,143.76,250.79,140.73,674.87,1506.54,3294.31,1405.57,1709.2,730.82,1300.79,1065.63,987.53,1296.94,963.43,911.74,1109.11,1052.86,1099.04,1497.68,1398.43,2051.17,1082.63,1951.11
Hawaii,0,0,0,0,22.93,0,31.47,306.51,43.94,444.18,510.84,661.27,333.87,604.65,284.97,915,522.11,240,407.98,302.8,160,277.52,76.14
Idaho,0,0,0,387.3,0,52.64,115.82,275.6,75.85,15.55,158.46,143.4,413.91,472.94,293.07,76.49,382.38,174.33,225.34,201.05,873.09,54.54,1526.6
Illinois,20.61,5.22,59.26,179.59,471.96,1791.62,833.69,619.77,393.99,329.13,444.8,737.1,639.16,1427.27,449.7,1584.65,3031.17,1187.2,948.42,1823.5,1783.45,1560.5,2387
Indiana,46.54,110.96,23.34,37.92,141.48,273.33,86.52,331.26,114.19,290.04,79.51,190.9,681.02,513.15,1330.32,531.48,641.63,404.03,216.05,784.12,514.43,437.58,511.49
Iowa,0,0,1.82,0,29.66,65.03,31.66,51.73,14.28,9.43,4.75,416.52,258.95,232.87,130.35,305.06,426.82,359.3,248.78,499.9,102.83,126.81,279.81
Kansas,0,14.36,0,0,114.84,755.01,17.99,31.45,34.57,373.79,51.86,13.94,212.73,894.33,7.16,440.57,729.26,275.77,472.28,427.58,593.07,158.4,401.85
Kentucky,0,0,20.65,291.82,501.74,971.19,70.76,28.64,31.19,201.05,1481.26,590.44,885.32,82.99,738.99,613.28,122.98,322.12,91.52,342.43,128.69,453.25,502.01
Louisiana,0,101.17,356.24,0,0,79.81,70.8,2.01,13.8,50.21,27.08,34.84,124.13,117.59,173.14,122.3,89.31,96.48,347.6,49.06,2260.95,60.24,354.5
