State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
United States,0.1671031,0.1523303,0.1524786,0.1568976,0.1615242,0.163453,0.1688742,0.1672314,0.1614694,0.15215,0.1443117,0.1338154,0.1270988,0.1258993,0.1249809,0.1231627,0.1212921,0.1249362,0.1285306,0.1278881,0.120421,0.1225078,0.1182005,0.1134447,0.1138772,0.1147264,0.1094736,0.1030989,0.0980797,0.09303473,0.09095596,0.08945387,0.08754873
Alabama,0.163405735,0.149004686,0.141130247,0.149372011,0.155934089,0.153334117,0.16567543,0.166530925,0.158052702,0.153749526,0.144321135,0.132265904,0.119531358,0.122773073,0.124090865,0.119309991,0.117560719,0.117398621,0.121034558,0.116883554,0.116899641,0.115527892,0.114260411,0.108490228,0.105798482,0.106361481,0.104971762,0.09552422,0.089034273,0.083344235,0.081163586,0.079066433,0.081366697
Alaska,0.240282378,0.240330665,0.235262822,0.224499359,0.225966907,0.222021351,0.238611054,0.247714442,0.225262296,0.197406998,0.18464748,0.164679904,0.142180758,0.140640055,0.137004015,0.125553201,0.123140934,0.131855872,0.136296465,0.138981229,0.133613787,0.134207249,0.140310057,0.135299238,0.1097957,0.108659888,0.101376471,0.097837873,0.094752227,0.094529631,0.085348057,0.087428732,0.075982651
Arizona,0.210009733,0.198434194,0.213776019,0.212843898,0.221463577,0.220434362,0.216756892,0.202761378,0.198657663,0.197556953,0.183119451,0.166287012,0.156313234,0.157631996,0.158624337,0.167640146,0.149282012,0.153348606,0.163031823,0.159729156,0.152506196,0.159267742,0.155065071,0.148953279,0.138851537,0.1360088,0.12727676,0.121235673,0.112511176,0.108532892,0.103859529,0.103503841,0.099508689
Arkansas,0.177301009,0.167883595,0.164752056,0.155074293,0.14606009,0.158123696,0.16670701,0.160183318,0.152141429,0.147361186,0.137253826,0.134075288,0.125331451,0.118849512,0.121081604,0.117207128,0.115465534,0.121258286,0.121580082,0.11389759,0.101281573,0.106109636,0.101753528,0.098476822,0.098704621,0.104598304,0.10007059,0.096046506,0.092476809,0.090993184,0.091193968,0.083826753,0.080425604
California,0.208627657,0.181844096,0.188038681,0.194645005,0.194280314,0.196739978,0.200152929,0.195063859,0.187501203,0.175106433,0.167775455,0.158706984,0.14911618,0.142531909,0.143255376,0.14107337,0.140522428,0.148286044,0.153774406,0.156931131,0.143715106,0.141333002,0.134513241,0.131935787,0.135826926,0.135542649,0.126407569,0.118262272,0.111618184,0.104166397,0.101098879,0.10051159,0.099316159
Colorado,0.21533372,0.209149023,0.213030407,0.213401045,0.208603013,0.207367091,0.208744048,0.183603093,0.177854566,0.175057941,0.16619904,0.161011441,0.153426149,0.1535179,0.153170302,0.147849556,0.147500849,0.151251069,0.153199298,0.151156334,0.146406945,0.143137444,0.139594147,0.131039779,0.130556077,0.128585853,0.126482021,0.121246468,0.114798317,0.109669849,0.105248798,0.099895354,0.098175714
Connecticut,0.124696167,0.12866959,0.125666387,0.12791675,0.131486745,0.1408991,0.140384384,0.147560306,0.143282056,0.12951911,0.120829427,0.11829785,0.103733934,0.101822967,0.101418919,0.108559532,0.098285097,0.101050998,0.105698689,0.108224401,0.094487617,0.101767882,0.096338134,0.086760031,0.085763554,0.087622401,0.084424654,0.080069377,0.076983143,0.075155351,0.070847329,0.069329715,0.070995681
District of Columbia,0.132302978,0.116396076,0.11679221,0.11839065,0.117743538,0.129241451,0.133027347,0.139253767,0.14017991,0.124799831,0.118608831,0.10804971,0.169451009,0.101890633,0.108612659,0.117274126,0.11250144,0.117745764,0.118052306,0.112358929,0.095313747,0.099567168,0.097844418,0.094345685,0.095466699,0.093742652,0.101652961,0.094422217,0.092964361,0.090323105,0.082549775,0.077701282,0.075146499
Florida,0.217854688,0.20284873,0.206126984,0.210731979,0.211214754,0.210026639,0.210628867,0.211756369,0.205778063,0.195705207,0.185067687,0.175790301,0.170460835,0.168942873,0.160547456,0.152080997,0.154376068,0.150097163,0.149928756,0.144781258,0.140603542,0.142130653,0.147547257,0.144147078,0.142299923,0.142818469,0.134955284,0.123380359,0.118568437,0.108731967,0.108985749,0.110977177,0.113979357
