State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United States,813.9,764.2,793.4,782.3,748.4,730,700.8,696.5,699.4,709,689.3,749.7,823.2,888.9,925.7,937.7,913.5,922.5,908.4,1039.7,1023.3,954.5,946.9,833.4,837.6,803,698.2,690
Alabama,1594.7,1590.6,1759.4,1679.6,1359.6,1382.5,1505.6,1466.9,1309.5,1160.5,1050.8,1534.2,1702.5,1952.3,1777,1734.5,1173.3,1163.3,1437,1653.4,1841.4,2663.7,2575.3,2297.9,2146.9,2136.5,1994.5,3854.9
Alaska,572.3,617.1,527.8,493.2,799.7,478.4,445.5,461.5,481.5,506.5,664.3,1060.4,1222.7,1582.4,1746,1765.5,721.3,868.7,709.1,784.6,735.1,592.1,468.5,536.4,388,584.4,591.7,502.3
Arizona,549.3,462.4,547.2,425.7,575.6,595.1,447.5,446.4,577.7,618.9,612,957.7,1117.7,1120.4,1174.3,1231.5,953.4,897.9,891.5,1173.6,1287,1081.7,866.3,833.1,536.1,527.4,476.6,350.9
Arkansas,127.8,124.8,95.3,103.9,109.5,115.3,171.1,108.7,110,116.4,123.7,193.4,145.1,147.2,141.1,148,138.8,148.2,118.5,143.9,152.2,145.7,148.1,134.1,148.8,79.7,225.6,121.4
California,1789.2,1576.7,1712,1563,1146.2,1248,1209.5,1247.5,1069.2,1313.2,1183.8,1006,1470.4,1517.2,1393.3,1377.2,1778.8,1723.4,1254.7,1755.5,1760.4,1427.3,1086.3,937.7,880.2,824.7,824.5,797.4
Colorado,1774,2407.5,1266.6,1065.9,986.7,715.8,846.1,840.9,796.7,829.1,780.9,790.4,924.1,898.8,1019.1,1064,968.3,1179.2,1094.6,1610.4,1819.6,1551,1474.3,1294.1,1308.3,1230.4,1405.7,1080.6
Connecticut,463.7,594,508.4,451.9,628.6,764.6,663.2,682.9,552.2,503.4,599.7,1012.6,2047.7,1484,1484.7,1605.7,1235.6,1290.8,1084.9,1429.6,1313.5,1416.1,1289.8,1439.8,1251.5,1228.6,1244.7,1204
Delaware,129.5,187.1,184.2,227.8,195.6,217.6,240.7,176.7,157.9,177.6,224.8,257.2,248.5,290.7,262.3,259.8,294,329.7,360.2,590.6,337.6,285.1,263,267.1,294.3,232.8,297.3,342.9
Florida,606.5,548.6,688.6,641.7,635.3,500,594.4,636.9,508.5,406.4,387.1,453.3,409.6,444.2,478.4,352.7,426.6,501.7,281.3,482.4,399,302.1,274.3,255.7,263.3,308.1,280.7,274.6
Georgia,184.2,228,1179.3,1346.3,2313.3,1733.4,1556.3,1393.3,1173.3,663.9,834.9,1053.7,669,617.7,530.5,574.9,433,396.6,321.3,477.9,376.4,339.9,260.6,254.3,274.5,251.3,262,246.8
Hawaii,292.8,308.1,400.4,292.7,360.5,351.1,361.3,359.2,386.8,456.4,517.2,936.3,918,867,975.8,1127.6,679.3,660.8,602.5,695.4,672.8,668.5,628.8,551.8,494.7,448.4,404.3,382.5
Idaho,1100.7,889.8,894.3,845.8,582.7,516.6,572.1,459.6,458.6,424.3,442.7,407.9,449.3,405.1,509.2,472.8,461.8,425.1,526,591.2,719.3,625.1,626.2,517.2,776.9,666.8,683.5,773.5
Illinois,269.3,264.4,246.6,248.8,268.7,263.2,252.7,255.3,254,278.6,308.6,374.1,359.4,398.9,373.8,403.4,357,366.2,368.7,486.3,461.1,493.1,400.5,384,377.5,387,598,381.7
Indiana,214.2,219.1,204.2,267.2,196.7,198.3,201.4,183.1,165.8,178.9,216.8,237,220.6,230.5,219,214,210.8,210.8,234.3,407.5,361.5,318.2,288.5,231.2,245.3,208.2,213.3,198.6
Iowa,211.4,226.7,200.2,209.2,208.7,192.6,187.9,197.4,201.8,222.3,227.9,290.5,363.6,394.3,415,357.5,381.6,447.8,418.6,455.4,599.6,451.3,390.6,345.4,303.2,330.5,285.8,296.2
Kansas,150.1,103.9,108.4,100.6,93.9,129.8,222.8,258.1,150.5,182,211.6,288.5,267.2,239.7,245,294,233.1,241.9,222.7,345.6,259.2,268.9,165.4,163.6,126.7,129.4,123.7,137.6
Kentucky,91.9,113.8,64.3,74.4,74.1,57.9,60.6,67.6,156.1,102.8,172.4,249.9,216.4,162.4,159.8,180.1,139.3,125,140.9,181.9,162.1,132.4,162.9,159.5,152.5,151,133.7,137.3
Louisiana,108.5,140.5,142.5,126.3,167,129.9,168.2,149.2,153.7,148.3,165.4,180.8,283.8,290.8,274.9,264.2,188.5,233.3,217.3,221.9,179.3,318.5,162.3,139.3,136.2,119.7,131.9,154.3
