State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United States,17.66,16.23,14.2,16.53,14.16,13.35,14.17,19.32,18.66,20.19,21.69,22.8,21.5,21.23,21.84
Alabama,7.22,6.21,5.1,5.57,4.38,3.83,4.37,6.63,5.22,5.94,6.74,6.69,6.64,7.04,6.78
Alaska,3.77,4.42,3.47,3.26,1.5,1.43,2.64,1.81,1.91,1.91,3.35,3.62,2.87,4.04,3.98
Arizona,16.97,16.16,14.87,17.01,15.24,15.2,14.99,18.83,17.32,18.64,17.89,19.51,18.68,19.39,19.75
Arkansas,7.31,5.5,4.95,5.79,4.04,3.79,3.02,4.9,4.67,6.03,5.38,6.49,6.75,7.08,7.2
California,29.1,27.68,24.98,NA,25.98,24.23,25.91,35.92,35.06,38.96,42.48,45.98,NA,43.66,44.32
Colorado,16.59,16.48,14.66,15.85,12.57,10.96,11.55,14.98,14.38,16.27,18.06,19.45,17.9,17.38,17.61
Connecticut,20.37,18.46,17.86,20.9,17.19,16.42,17.64,24.44,25.03,26.88,27.75,29,27.36,28.51,29.99
Delaware,20.09,19.27,18.32,17.03,15.22,13.75,14.19,17.97,19.44,19.07,21.74,20.41,16.97,14.1,12.2
Florida,11.39,10.26,9.36,10.43,9.45,8.11,8.73,12.11,12.47,14.5,15.5,16.14,14.62,14.54,14.78
Georgia,9.27,9.53,8.79,10.82,9.49,9.08,NA,13.08,13.16,14.26,15.43,15.65,NA,12.67,12.99
Hawaii,4.54,4.48,2.92,4.59,3.74,4.3,3.84,6.36,4.63,5.59,5.72,5.93,5.65,5.97,5.33
Idaho,81.26,77.83,63.74,NA,55.4,49.85,40.05,45.17,40.12,36.82,38.53,38.62,30.93,26.3,24.89
Illinois,15.55,14.35,12.29,14.43,12.74,12.12,13,18.38,18.57,19.46,20.3,21.83,20.49,19.01,19.59
Indiana,17.68,15.85,13.87,14.87,13.71,11.1,12.21,16.58,15.56,18.51,18.88,20.03,19.77,19.46,20.94
Iowa,17.47,16,13.85,15.16,13.12,11.69,13.85,16.9,16.49,16.88,18,18.69,18.98,17.26,19.71
Kansas,8.14,8.3,7.28,9.87,8.25,7.48,7.63,12.52,13.29,19.24,19.81,18.87,17.22,14.61,13.45
Kentucky,9.6,9.47,7.7,9.31,8.81,NA,7.15,10.99,9.1,10.3,10.37,11.94,11.94,12.76,13.02
Louisiana,9.45,8.4,6.65,8.16,6.79,6.15,6.07,6.81,7.44,7.82,8.43,8.65,8.13,9.51,10.31
