State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
United States,79.58,79.58,83.9,88.22,99.69,111.16,115.77,120.38,114.99,109.6,112.775,115.95,135.725,155.5,158.985,162.47,149.93,137.39,141.57,145.75,141.79,137.83,128.23,118.63,110.065,101.5,101.5
Alabama,102.71,102.71,105.905,109.1,139.56,170.02,189.435,208.85,188.575,168.3,178.83,189.36,220.15,250.94,264.955,278.97,270.7,262.43,255.31,248.19,230.68,213.17,200.95,188.73,182.055,175.38,175.38
Alaska,8.01,8.01,7.535,7.06,10.735,14.41,15.09,15.77,14.19,12.61,14.795,16.98,16.195,15.41,12.35,9.29,13.94,18.59,21.28,23.97,19.96,15.95,15.74,15.53,13.195,10.86,10.86
Arizona,70.69,70.69,77.24,83.79,92,100.21,118.425,136.64,134.45,132.26,140.285,148.31,151.555,154.8,159.55,164.3,147.025,129.75,132.68,135.61,144.345,153.08,139.175,125.27,109.4,93.53,93.53
Arkansas,12.31,12.31,11.58,10.85,8.26,5.67,6.635,7.6,14.73,21.86,22.625,23.39,32.37,41.35,63.485,85.62,81.87,78.12,78.465,78.81,74.635,70.46,67.9,65.34,56.475,47.61,47.61
California,142.98,142.98,151.22,159.46,183.065,206.67,211.255,215.84,194.695,173.55,178.495,183.44,214.33,245.22,245.59,245.96,221.1,196.24,205.665,215.09,211.93,208.77,200.385,192,174.025,156.05,156.05
Colorado,167.99,167.99,195.72,223.45,248.525,273.6,289.305,305.01,319.41,333.81,331.6,329.39,376.79,424.19,433.485,442.78,419.275,395.77,401.18,406.59,380.24,353.89,309.415,264.94,264.685,264.43,264.43
Connecticut,161.52,161.52,177.94,194.36,210.89,227.42,216.52,205.62,169.79,133.96,124.98,116,139.49,162.98,151.72,140.46,126.355,112.25,124.93,137.61,130.57,123.53,111.425,99.32,100.79,102.26,102.26
Delaware,63.04,63.04,68.18,73.32,97.195,121.07,118.015,114.96,104.945,94.93,98.75,102.57,96.585,90.6,109.035,127.47,130.35,133.23,133.265,133.3,141.825,150.35,136.32,122.29,123.98,125.67,125.67
Florida,38.42,38.42,38.16,37.9,41.17,44.44,48.185,51.93,49.805,47.68,49.26,50.84,59.505,68.17,69.84,71.51,69.55,67.59,69.535,71.48,72.73,73.98,70.195,66.41,59.915,53.42,53.42
Georgia,21.71,21.71,21.675,21.64,22.015,22.39,28.25,34.11,36.69,39.27,39.07,38.87,43.505,48.14,49.98,51.82,50.525,49.23,52.89,56.55,55.315,54.08,57.08,60.08,50.755,41.43,41.43
Hawaii,60.89,60.89,63.98,67.07,71.935,76.8,78.2,79.6,85.205,90.81,88.335,85.86,101.72,117.58,134.635,151.69,141.85,132.01,136.085,140.16,138.505,136.85,124.31,111.77,99.125,86.48,86.48
Idaho,13.25,13.25,14.8,16.35,24.52,32.69,27.51,22.33,25.725,29.12,45.655,62.19,78.295,94.4,96.255,98.11,83.905,69.7,58.98,48.26,69.205,90.15,71.62,53.09,39.95,26.81,26.81
Illinois,31.57,31.57,29.5,27.43,26.79,26.15,29.17,32.19,33.435,34.68,35.08,35.48,39.72,43.96,44.655,45.35,46.665,47.98,54.47,60.96,59.395,57.83,54.73,51.63,49.545,47.46,47.46
Indiana,14.67,14.67,14.77,14.87,20.035,25.2,26.86,28.52,27.35,26.18,27.72,29.26,39.59,49.92,59.14,68.36,65.93,63.5,68.985,74.47,68.715,62.96,62.54,62.12,55.455,48.79,48.79
Iowa,24.44,24.44,16.395,8.35,6.28,4.21,7.065,9.92,13.79,17.66,24.445,31.23,38.415,45.6,40.975,36.35,35.75,35.15,36.675,38.2,36.31,34.42,39.105,43.79,45.44,47.09,47.09
Kansas,9.64,9.64,13.25,16.86,26.925,36.99,35.93,34.87,37.995,41.12,42.1,43.08,48.735,54.39,54.34,54.29,46.65,39.01,34.42,29.83,29.745,29.66,36.025,42.39,41.22,40.05,40.05
Kentucky,4.36,4.36,6.775,9.19,13.09,16.99,20.75,24.51,22.415,20.32,24.06,27.8,30.48,33.16,32.025,30.89,33.735,36.58,50.31,64.04,61.135,58.23,65.19,72.15,67.035,61.92,61.92
Louisiana,9.73,9.73,10.58,11.43,12.275,13.12,13.545,13.97,12.73,11.49,15.2,18.91,19.835,20.76,23.435,26.11,21.935,17.76,22.22,26.68,23.415,20.15,17.895,15.64,12.81,9.98,9.98
Maine,38.68,38.68,55.265,71.85,72.34,72.83,61.1,49.37,52.945,56.52,68.485,80.45,107.715,134.98,170.91,206.84,179.11,151.38,119.74,88.1,90.915,93.73,69.4,45.07,45.065,45.06,45.06
Maryland,189.84,189.84,208.81,227.78,245.12,262.46,273.42,284.38,285.37,286.36,290.49,294.62,356.63,418.64,408.185,397.73,351.055,304.38,334.93,365.48,343.48,321.48,310.81,300.14,279.67,259.2,259.2
Massachusetts,476.81,476.81,505.305,533.8,581.515,629.23,652.325,675.42,644.845,614.27,613.795,613.32,705.425,797.53,809.91,822.29,746.215,670.14,684.835,699.53,666.17,632.81,576.625,520.44,477.67,434.9,434.9
