State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
United States,473801,NA,580610,NA,819927,NA,1025726,NA,1065740,NA,1235887,NA,1731914,NA,1914891,NA,1833817,NA,2020634,NA,2077546,NA,1852831
Alabama,7837,NA,9315,NA,16212,NA,21834,NA,19280,NA,23322,NA,33192,NA,39164,NA,39376,NA,39568,NA,37514,NA,32781
Alaska,187,NA,164,NA,364,NA,403,NA,318,NA,480,NA,495,NA,345,NA,707,NA,1066,NA,721,NA,879
Arizona,5467,NA,7716,NA,11017,NA,18007,NA,20428,NA,25485,NA,28534,NA,33963,NA,29473,NA,30869,NA,36202,NA,31600
Arkansas,514,NA,521,NA,310,NA,457,NA,1443,NA,1663,NA,3240,NA,7103,NA,6965,NA,7620,NA,7417,NA,7537
California,115699,NA,135376,NA,188621,NA,228979,NA,217607,NA,256030,NA,361032,NA,391827,NA,352473,NA,389310,NA,411807,NA,403878
Colorado,13604,NA,21493,NA,31267,NA,41495,NA,55103,NA,61391,NA,81320,NA,85830,NA,91141,NA,95243,NA,90939,NA,72666
Connecticut,16551,NA,21156,NA,27703,NA,28324,NA,20707,NA,19923,NA,29454,NA,26856,NA,24329,NA,31424,NA,28796,NA,23002
Delaware,1357,NA,1761,NA,3330,NA,3790,NA,3814,NA,4636,NA,4195,NA,6662,NA,7215,NA,6937,NA,8298,NA,7285
District of Columbia,10360,NA,11575,NA,15482,NA,20819,NA,21897,NA,26348,NA,37543,NA,42114,NA,44602,NA,49565,NA,52668,NA,49993
Florida,3245,NA,3749,NA,4563,NA,8272,NA,11278,NA,12353,NA,16484,NA,18891,NA,19091,NA,21358,NA,21932,NA,25718
Georgia,2091,NA,2465,NA,2900,NA,3009,NA,3583,NA,3716,NA,5772,NA,7823,NA,8043,NA,8526,NA,9019,NA,7328
Hawaii,254,NA,377,NA,895,NA,665,NA,1001,NA,2365,NA,3664,NA,3994,NA,3496,NA,2390,NA,5041,NA,3204
Idaho,9194,NA,8909,NA,9554,NA,13255,NA,16052,NA,17849,NA,22724,NA,24985,NA,28093,NA,36758,NA,39328,NA,37815
Illinois,1713,NA,1984,NA,3798,NA,4881,NA,5068,NA,6048,NA,10739,NA,15509,NA,17086,NA,18991,NA,17548,NA,17345
Indiana,1433,NA,544,NA,312,NA,813,NA,1561,NA,2985,NA,4875,NA,4091,NA,4290,NA,4983,NA,5116,NA,6012
Iowa,523,NA,1007,NA,2444,NA,2589,NA,3374,NA,3808,NA,4971,NA,5359,NA,4626,NA,3774,NA,3979,NA,5960
Kansas,316,NA,756,NA,1564,NA,2540,NA,2298,NA,3280,NA,4237,NA,4406,NA,5602,NA,9937,NA,9915,NA,10927
Kentucky,915,NA,1112,NA,1473,NA,1656,NA,1453,NA,2585,NA,3126,NA,5002,NA,4326,NA,5350,NA,4655,NA,3406
Louisiana,915,NA,1822,NA,2038,NA,1515,NA,1948,NA,3098,NA,5604,NA,9264,NA,7378,NA,4071,NA,4505,NA,2441
Maine,22009,NA,28727,NA,36517,NA,44964,NA,51764,NA,60481,NA,93753,NA,97044,NA,81609,NA,105067,NA,101289,NA,91958
Maryland,77509,NA,93712,NA,124325,NA,156946,NA,164596,NA,181832,NA,242347,NA,252632,NA,233251,NA,262350,NA,258624,NA,215435
Massachusetts,8159,NA,10503,NA,15883,NA,24742,NA,21519,NA,21110,NA,33577,NA,43265,NA,47107,NA,50811,NA,50979,NA,38253
Michigan,6977,NA,7066,NA,14144,NA,15920,NA,13349,NA,18158,NA,24805,NA,24326,NA,26551,NA,29120,NA,25233,NA,26309
Minnesota,361,NA,394,NA,722,NA,778,NA,1546,NA,2524,NA,3232,NA,3364,NA,1040,NA,1825,NA,1857,NA,133
Mississippi,2150,NA,1846,NA,1599,NA,3607,NA,5721,NA,4967,NA,7342,NA,9959,NA,8792,NA,11055,NA,12508,NA,11336
Missouri,416,NA,1070,NA,1871,NA,1594,NA,3622,NA,6847,NA,7045,NA,8492,NA,8310,NA,7211,NA,7692,NA,7473
Montana,874,NA,1140,NA,520,NA,899,NA,1641,NA,2259,NA,2998,NA,4003,NA,2471,NA,3979,NA,5731,NA,3903
