Fips,State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,United States,8548796,9030244,9606777,10230462,10565069,10918961,11447447,12208689,13023633,13782387,14401421,14636247,14328006,14862637,15431583,16141152,16701415
1000,Alabama,103009,109068,115215,119677,123819,129243,135910,148396,157520,164820,169689,173251,169052,175734,181848,189542,193566
2000,Alaska,25919,24120,24793,26969,29087,29822,32136,35527,40232,44835,49194,54770,49954,53251,58581,59643,59355
4000,Arizona,132573,143348,156181,165803,171517,179211,192100,204074,226290,247833,262380,259058,243331,247752,258187,271503,279024
5000,Arkansas,60959,63241,67783,70000,71902,74673,79568,86813,93719,99883,103592,107854,105841,111355,115582,118993,124218
6000,California,1085261,1160427,1262556,1382299,1399772,1450452,1534559,1642982,1759869,1866312,1949059,1978113,1906376,1953411,2030468,2125717,2202678
8000,Colorado,137371,148906,162153,178114,184827,188371,194631,204354,221491,232381,244349,254760,248177,256628,266243,278551,294443
9000,Connecticut,141808,148570,154873,167878,172668,175606,182466,199394,209599,222953,236036,236060,230005,233781,235121,242930,249251
10000,Delaware,34844,36980,39704,42473,43158,43018,45418,49495,51963,55011,56381,54156,56090,57628,58612,60650,62703
12000,Florida,408673,432149,460183,491450,519531,549614,584377,635769,699197,747470,773521,753012,721684,728604,736347,769007,800492
13000,Georgia,238219,264422,288105,305721,317331,324214,335136,352883,376048,393840,409935,408682,404045,410902,421564,438324,454532
15000,Hawaii,38126,37606,39207,41348,42805,45207,48566,53325,58074,61608,64793,66423,65084,67285,69755,72512,75235
16000,Idaho,29728,31095,34322,38356,37838,39190,41110,44377,47899,51632,54921,55787,54063,55427,56956,58231,62247
17000,Illinois,419988,444487,466894,494485,505826,514524,531529,560104,587637,623078,646172,642245,636975,652681,676911,704138,720692
18000,Indiana,173872,187171,196062,206381,207423,215169,226737,240606,246995,257635,271176,274593,262428,283289,292032,306838,317102
19000,Iowa,84097,85757,88954,95085,96328,100534,107073,118515,123903,128085,136818,135907,136511,141814,148997,156606,165767
20000,Kansas,76035,78821,82513,86882,89826,92320,96794,100272,105773,112464,120642,124215,120769,126347,135336,138958,144062
21000,Kentucky,105578,110098,116168,115393,119390,123933,128767,135941,144170,152470,155495,159051,156149,166344,172517,177967,183373
22000,Louisiana,118868,121818,127596,134575,140627,141974,157682,172825,200327,207963,209013,217554,209860,232879,242666,251369,253576
23000,Maine,30805,31800,33905,36470,38064,40163,42113,44913,46187,48134,49370,50149,50318,51470,51756,53235,54755
24000,Maryland,162802,171656,182465,193530,206785,218842,229974,248001,264945,278616,291347,299239,304414,316164,326237,336481,342382
25000,Massachusetts,238165,250629,266302,291555,298522,303930,316377,332069,346130,361077,379868,385730,383150,399603,413716,431937,446323
26000,Michigan,309476,319264,341798,353766,352292,366022,378053,384009,396102,397304,401866,387299,366302,387730,400924,416769,432573
