GeoFips,State,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,United States,46473,46518,47550,49416,49966,47855,47324,48224,48663,49036,47671,45137,44564,44213,45052,46067,46573,47775,48282,48936,48717,48283,47962,49692,49442,49508,49235,49651,50624,52462,53810,55026,55617,55912,56304,57125,56696,57026,56380,55732,55442,56384,56136,56725,56453,57033
1000,Alabama,37180,37367,38724,40542,41558,40206,40161,41817,42029,42867,41824,39441,39200,38780,39638,40571,41352,42306,42400,42717,42546,42036,42355,43386,42799,43535,42882,42847,43015,44748,45725,45756,46513,47248,47827,48429,48146,48070,46990,46466,47428,48047,47320,47308,47165,47780
2000,Alaska,64563,66658,68448,70232,69162,73009,86049,94290,84032,76151,70446,69279,70075,69565,70422,68591,68048,67094,60855,59845,60078,58572,57490,58445,57644,56823,55820,54494,54862,55033,55375,55816,57326,58445,59563,59834,60063,60221,60154,60167,62616,63923,64524,65370,64497,64702
4000,Arizona,45304,45589,47339,49042,49240,47716,45716,46566,46320,46545,46026,43995,43299,42194,42649,42893,42826,44082,44399,44568,43315,42513,43173,44523,44669,44892,45072,45302,46061,48200,49344,50517,50883,51291,50968,51673,51820,53061,52321,51227,50683,50722,50517,50858,50237,50721
5000,Arkansas,33344,33769,34686,36738,39668,37928,37729,38277,38705,40576,39049,35294,35717,34740,34901,36600,36718,37685,37704,38151,37774,37402,37333,39073,38434,39204,38652,38956,39268,40763,41694,41717,42320,42543,44353,45401,44426,44201,44208,43283,43344,43444,43075,44316,45069,45329
6000,California,53332,53048,53706,55552,54920,52769,51734,52973,53333,53489,51912,49641,48624,48769,49850,51040,51769,53532,54499,54704,53965,53437,53219,55413,54852,54498,53963,54339,55971,57831,60153,63717,63459,63445,63974,65312,64649,64773,63758,62412,62035,63006,63088,63897,63266,63897
8000,Colorado,43373,44380,46280,47874,47873,46663,45954,46208,46269,46793,45908,44064,43706,43638,44398,44237,44370,45208,45440,44843,44511,44250,44321,46152,46560,46249,46663,47177,47950,50950,53554,55995,56867,56347,56115,56360,56241,56543,55080,54862,54451,55174,54540,55523,55376,56511
9000,Connecticut,51220,51093,51605,53317,53185,50750,49831,50411,50849,50937,49796,47843,46918,47163,48812,50360,51366,53149,55632,57473,58023,57528,58290,60199,60120,61114,60918,60922,63715,65840,67591,69594,71045,70511,70577,71963,71392,71458,71070,68603,68677,69978,69141,69077,68611,69450
10000,Delaware,49057,48289,50177,51696,52742,51288,51496,52585,52754,53013,50897,49282,47917,48214,49041,49523,49820,50139,50677,51310,52054,51418,52229,53210,52162,52769,51744,52370,53256,55350,57265,57999,60995,62445,62417,62905,62779,63067,61012,59638,60569,60781,60467,60863,60013,60883
12000,Florida,41985,42321,43365,44971,45071,43423,42641,43209,43054,42968,41961,40353,39518,39134,40469,40580,40982,42042,44057,44458,43927,43401,43587,45052,45137,44982,44966,45073,45171,46588,47362,47953,49055,49911,50226,50725,51066,51076,49749,48414,48007,48304,46772,47064,46824,47149
