State,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
United States,"1,976,000","1,977,000","1,978,000","1,979,000","1,980,000","1,981,000","1,982,000","1,983,000","1,984,000","1,985,000","1,986,000","1,987,000","1,988,000","1,989,000","1,990,000","1,991,000","1,992,000","1,993,000","1,994,000","1,995,000","1,996,000","1,997,000","1,998,000","1,999,000","2,000,000","2,001,000","2,002,000","2,003,000","2,004,000","2,005,000","2,006,000","2,007,000","2,008,000","2,009,000","2,010,000","2,011,000","2,012,000","2,013,000","2,014,000","2,015,000"
Alabama,1501284,1568504,1621710,1656358,1669289,1677652,1716324,1756953,1788133,1802728,1861327,1869005,1877663,1896227,1907367,1920555,1965516,2003905,2026692,2067444,2086463,2133573,2136177,2140296,2133223,2115401,2106161,2120225,2136458,2146025,2167809,2175612,2176489,2162999,2196042,2202670,2174972,2167238,2161313,2146157
Alaska,163570,173013,182111,183807,187405,196157,212806,231721,245452,252127,255131,248599,248861,255617,268422,276276,287216,295432,302371,304160,309772,313217,315870,317943,319511,321393,326401,331669,336743,344559,349691,350785,356109,359647,361913,365913,365674,365216,365890,363822
Arizona,987060,1042116,1082446,1152471,1228001,1271678,1341767,1386057,1431770,1487075,1562728,1618230,1666073,1718674,1786186,1805012,1873606,1949027,2104125,2229131,2285205,2308569,2387027,2473013,2509883,2585284,2679421,2736000,2796269,2883226,2990441,3034016,3104863,3128110,3089705,3037017,3031199,3039865,3097112,3152708
Arkansas,891608,930260,952308,984461,998280,1023163,1024106,1031664,1042889,1047947,1067484,1092247,1111749,1128467,1131830,1129518,1154527,1177924,1218426,1238738,1248668,1242594,1241352,1255032,1258301,1253456,1270997,1271696,1300318,1345913,1365410,1369284,1375257,1358911,1353338,1362682,1342327,1307986,1304141,1330099
California,9899372,10382340,10905557,11279488,11579052,11829789,12152372,12293797,12637075,12982818,13335690,13743990,14141442,14552934,15138423,15126481,15304998,15261199,15256527,15246014,15422616,15790063,16144564,16416600,16867808,17128430,17257097,17277618,17383631,17530064,17654109,17893080,18178123,18215140,18336271,18415100,18551413,18670058,18827925,18981770
Colorado,1241819,1292960,1347646,1429392,1491648,1539314,1595941,1666793,1715898,1714199,1705842,1701342,1697028,1702489,1763683,1794287,1845245,1931142,2039524,2124988,2154732,2217553,2311582,2344282,2359515,2391048,2442992,2486229,2532361,2563900,2622243,2664677,2716625,2722982,2724417,2736079,2759437,2780536,2815200,2828529
Connecticut,1455740,1484885,1513504,1562654,1588290,1596437,1608804,1619703,1663064,1710255,1737273,1750361,1746643,1772352,1819775,1841104,1827707,1795716,1756296,1734064,1741727,1752540,1742196,1754565,1764126,1759829,1774152,1784260,1774193,1796976,1828651,1856209,1881454,1891077,1911712,1914775,1888336,1872031,1886398,1888001
Delaware,264791,272833,277334,280816,283955,287919,294391,296258,307185,316652,324857,332990,348445,359658,360223,361714,367162,376854,384827,385838,388134,387597,394889,398783,413500,421786,416783,415160,420384,432409,441184,443573,447041,437500,434419,443346,445708,442518,453631,467472
Florida,3602310,3724245,3962454,4135752,4274346,4527425,4729458,4927448,5161635,5342656,5590997,5859869,6054325,6237743,6464169,6532429,6657112,6756534,6947512,7046151,7169990,7368111,7521469,7657159,7856895,8043714,8114409,8210696,8440428,8720970,9000204,9157124,9215524,9094825,9212066,9300542,9391203,9460552,9606715,9675328
Georgia,2273932,2332184,2410909,2467596,2533586,2600075,2655895,2692349,2769779,2877663,2982631,3063215,3144406,3208446,3283912,3278409,3399695,3480778,3593963,3682926,3810136,3960492,4072762,4153499,4222253,4262041,4327691,4394437,4451800,4586420,4710775,4815818,4879253,4787749,4696676,4748754,4788068,4759506,4753765,4770873
Hawaii,409847,416882,418444,425536,438848,450177,458778,471578,472988,479158,491387,510628,517775,527490,550921,571588,584253,586404,585215,586481,595598,600954,601583,602907,605947,610630,600924,603122,610912,626912,638260,638395,639691,631690,647249,660253,647625,650708,668346,677439
Idaho,373138,397769,416943,429329,428739,430350,442756,453993,462704,466588,471760,470758,479124,489473,492490,508081,531126,554106,587134,600704,616791,633725,649435,651207,659824,677665,684591,690005,703062,731670,747377,754438,755153,757131,761056,765178,769617,772513,781390,797475
Illinois,5149989,5281924,5422862,5448408,5554539,5592209,5614249,5603113,5611290,5672208,5694686,5756424,5849194,5994211,5947011,5944289,6027916,6072484,6108648,6174337,6247845,6300928,6347005,6467988,6493466,6457922,6349239,6300221,6325447,6397808,6526273,6665601,6657227,6618658,6625321,6586893,6584691,6561142,6515198,6512386
Indiana,2434546,2490170,2590145,2636428,2625544,2617959,2599391,2583412,2631866,2710413,2748410,2757863,2805683,2856099,2814608,2792829,2857384,2948307,3064328,3135172,3109669,3120608,3123160,3124851,3126379,3140899,3171168,3182988,3167797,3205436,3235110,3207687,3232097,3193989,3175192,3181991,3171569,3193427,3227970,3265761
Iowa,1338074,1384889,1418036,1421489,1435156,1426591,1424383,1422636,1415875,1413046,1433643,1452988,1491110,1508708,1451750,1474789,1511801,1559713,1579261,1587051,1608348,1602935,1595942,1596414,1590453,1612964,1637909,1606798,1601788,1629764,1657584,1660677,1679293,1687411,1678281,1662376,1649169,1672399,1697712,1701329
Kansas,1071376,1105749,1139699,1169991,1187425,1187080,1193568,1188919,1203358,1228017,1241711,1262821,1276496,1284372,1272519,1279949,1308836,1333092,1348851,1349748,1358124,1381702,1416392,1425599,1406580,1390620,1413014,1437027,1463707,1465640,1467095,1483458,1499676,1518207,1500764,1491087,1483574,1485405,1494188,1499009
Kentucky,1494225,1536657,1583514,1616350,1658824,1665577,1683086,1702034,1704246,1694398,1693468,1692290,1712328,1736251,1754358,1762723,1778852,1803302,1826236,1855545,1874089,1916745,1932757,1959402,1965688,1958409,1944020,1960045,1963875,1999777,2029231,2032082,2030738,2060162,2054375,2056410,2058982,2058186,2005603,1953393
Louisiana,1527236,1599156,1668701,1726798,1786701,1854541,1867571,1908753,1951326,1985981,1979030,1948253,1920896,1881536,1869848,1907456,1921822,1897952,1943086,1959012,1989219,2021240,2048904,2039045,2037075,2028302,2004222,2018324,2037176,2069403,1988513,2030434,2084835,2064768,2086076,2073217,2080664,2106424,2156737,2160195
Maine,477001,479869,483755,497657,505963,509975,518584,535851,547680,551978,562749,584840,598659,614540,633069,645139,644489,628854,621684,637534,656737,656709,653210,668497,678164,674319,675232,683535,686000,697153,701541,700468,701646,696219,695182,699281,702799,707623,696578,679756
Maryland,1916398,1973483,2044558,2111836,2148225,2171319,2174978,2197036,2240006,2280057,2346980,2408210,2469123,2523885,2590052,2616556,2651353,2658444,2681591,2710626,2740602,2766990,2764180,2766119,2803685,2837985,2869954,2882219,2889324,2924546,2963866,2970094,3001953,3032700,3073826,3096561,3120678,3127825,3128296,3151929
Massachusetts,2721867,2763250,2813748,2852892,2868271,2941642,2987137,2996869,3037295,3051393,3066029,3094323,3141431,3175997,3206383,3194946,3181030,3174301,3200834,3214652,3241366,3305660,3340628,3353865,3330177,3381287,3431082,3422409,3395511,3384116,3413339,3426009,3452468,3470382,3480083,3469308,3486326,3513565,3557362,3569956
