GeoFips,State,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,United States,15086,15543,16046,16618,16362,17281,17968,18059,17739,18424,18601,18914,19613,20053,20919,21964,22934,23617,24628,25381,25632,26148,27518,28570,28000,27808,28559,29310,30311,30074,29204,29365,29343,30108,31617,32422,33431,33936,34913,35654,35527,34778,35578,35590,36045,36654,37355,38321,40002,40727,42121,42211,41916,42112,43057,43573,44845,45520,45225,43502,43779,44732,45697,45212,46104,47669
1000,Alabama,9068,9791,10196,10635,10327,11594,12182,12374,12335,12714,12756,12881,13358,13865,14687,15470,16035,16449,17300,18257,18778,19529,20765,21743,21437,21591,22548,23037,23891,23617,22761,22800,22650,23452,24619,25475,26347,26754,27579,28605,28689,28724,29626,29659,30288,30896,31072,31720,33095,33456,33927,34220,34377,34838,36139,36653,37249,37621,37330,36488,37036,37092,37201,36806,37557,38965
2000,Alaska,28550,31040,29167,28193,25860,25603,26420,24537,24735,25567,28226,26532,26464,27172,29230,30120,31149,32097,32433,34151,35876,36413,37310,39780,42009,48897,51319,49472,46782,44253,44035,43969,47035,45645,44235,44562,43184,40351,40203,41707,41461,40284,40440,40601,40629,40500,40130,41071,41807,41886,43331,43991,44766,45430,45894,46749,47668,49598,52038,51032,51927,53266,53959,52152,54076,55940
4000,Arizona,13749,15206,15822,15703,15490,16122,16792,16642,16214,16795,17176,17392,17721,17792,18411,18894,19656,20345,21924,23463,24435,25329,26543,27278,26461,25363,26009,26553,28064,28318,27697,27947,27099,28078,29526,30482,31569,31703,31888,31919,31198,30581,30626,30837,31594,32028,32587,33492,35137,35548,36548,36429,36350,36642,37920,39356,40970,41071,39715,37632,37158,37591,37977,37363,37940,39060
5000,Arkansas,8379,8861,9355,9658,9727,10666,11032,10839,11023,11745,11450,12208,12589,13013,13778,14326,15435,15860,16455,17315,17837,18616,19897,21737,21428,21058,21873,22446,23818,23150,21832,22351,22135,22693,24069,24689,25410,25365,26124,26701,26540,26604,27792,27861,28407,28895,29373,29755,30812,31094,31386,31950,31932,32799,33696,33878,34658,35643,35705,34943,34773,35785,37464,37166,37827,39107
6000,California,19050,19654,20509,20728,20380,21827,22534,22538,22102,23083,23381,23615,24337,24817,25820,26493,27593,28300,29423,30199,30336,30490,32054,32649,32317,32187,33137,33879,35102,35102,34304,34231,33728,34596,36189,36934,38003,38580,39281,39330,38978,37978,38254,37667,37640,38251,39103,40089,42362,43623,45960,45625,45198,45576,46731,47386,49018,49362,48202,45946,46099,47260,49153,48964,50044,52651
8000,Colorado,15431,16992,17468,16707,16362,17272,17863,18540,18420,19141,19474,19921,20194,20472,21010,21911,22670,23184,23933,24935,25950,27067,28431,29462,29192,28971,29608,30280,31634,31671,31316,31923,32077,32630,33750,34024,34411,34211,34745,35715,35563,35302,36113,36745,37456,38535,39412,40445,43236,44659,47120,47172,46115,45615,46018,46924,47861,48314,48031,45857,45518,46730,47902,47561,48927,50410
9000,Connecticut,18843,19946,20849,21536,21014,22225,23763,24081,21889,22521,22869,23583,24369,24639,25460,26388,27740,29166,29450,31632,31521,31561,32882,33684,33033,32429,33074,34191,35313,35592,35532,35980,36476,37518,40069,41253,43310,45359,47672,49206,47908,46154,48245,48335,48261,49335,50067,52002,54608,55712,58097,58479,57186,56919,59104,60050,62738,64841,63603,61321,62334,63099,64766,63194,64941,66972
10000,Delaware,20525,19827,20285,20994,20627,22605,24486,22867,22488,22912,23229,23123,23882,24507,25430,26945,27089,27520,28319,29249,28931,29536,30960,31965,30966,30301,31012,31227,31674,31194,31083,30961,31259,32085,33554,34936,35946,36915,38109,39830,39009,38821,38720,38425,38340,38837,39745,40015,42093,42697,44195,45495,45948,45649,46755,46810,47891,47293,46587,45995,45416,45894,46194,45600,46433,47662
12000,Florida,13247,13118,13738,14505,14318,15380,16260,16119,16083,16950,16767,16789,17235,17730,18663,19526,20344,21360,22884,24470,25412,26125,27733,28816,27836,27138,27467,28243,29525,29359,29285,29631,29383,30824,32019,33057,34147,34676,35607,36927,36189,35182,35453,35835,35991,36837,37263,37732,39330,39693,40737,40918,40884,41126,42713,44047,45630,45662,44054,41406,42085,42715,42583,42029,42788,44101
