State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,15,14.7,15,15.7,16,16.4,16.5,16.7,16.8,17,17.5,18.3,19.2,19.9
Alabama,13,12.7,11.9,11.5,12,12.9,13.3,13.3,13.5,14.1,14.6,16.3,16.6,17.6
Alaska,7.2,7.2,6.4,6.3,6.6,6.3,7.1,6.8,6.9,7.9,8.2,9.2,7.9,8.6
Arizona,10.7,10.2,11.8,13.6,15.8,16.5,16.6,17.4,17.6,19.1,21.4,23.6,29,30.7
Arkansas,9.3,9.3,10,10.3,10.2,10.4,10.1,10.2,10,10.1,10.5,11.6,12.7,13
California,14.1,14,14.7,15.1,15.4,15.9,16.3,16.3,16.5,16.3,16.6,17.2,17.9,18.9
Colorado,20.9,19.8,20.8,21.3,21.6,22.2,23.8,24.1,24.5,23.3,22.3,22.8,24.2,25
Connecticut,19.5,19.1,18.9,19.9,20.6,19.9,20.7,21,21.4,21.5,21.5,21.9,23.1,23.3
Delaware,20.7,18.7,20.3,19.7,19.4,19.9,20.7,18.8,19.1,19,18.7,21,21.2,23.8
Florida,10.9,10.7,10.9,11.4,12.3,12.3,12.7,12.8,13.1,13.4,14.1,14.8,15.9,16.6
Georgia,11.3,11.1,11.6,12.7,14.1,13.3,12.9,13,13,12.8,13.4,14.1,14.6,15.7
Hawaii,14.6,13.4,12.9,12.5,14,13.9,14.4,14.3,15.2,15.6,14,14.7,14.6,16.5
Idaho,10.9,9.9,10.3,11.9,11.2,12.9,14.1,14.2,14.1,15.2,16.2,15.9,17.5,20.1
Illinois,14.1,14.1,14.3,15.2,15,16.1,16.3,16.2,16.3,16.3,16.8,17.2,17.8,18.2
Indiana,16,15.4,16.3,16.9,17.2,17.9,17.8,18.4,17.9,17.4,18.6,20.2,21,21.5
Iowa,19,18.1,18.5,19.5,19.5,20,20,21,22.7,25.3,32.3,38,40.1,38.7
Kansas,16.1,16.5,15.7,16.5,16.8,16.9,16.5,17.1,16.5,17,16.9,16.6,17.7,17.6
Kentucky,11.1,10.6,11.3,10.9,11.4,11.8,12.8,12.9,12.8,12.9,12.8,13.4,14.3,14.7
Louisiana,12.3,12,12.1,12.6,12.1,12.5,12.6,13.4,13,12.8,12.2,13.2,13.6,14.3
Maine,20.9,19.8,20.1,21.7,20.4,21.6,21.6,22.4,23.4,23.1,25.4,26.9,28.3,26.8
Maryland,19.1,19.1,19.4,20.4,21.3,21.8,21.7,20.9,20.9,21.1,21.6,22.3,24,25.1
