State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,12.3,12.8,13.6,14.3,14.5,14.7,15.1,15.1,15.2,14.9,14.8,14.5,14.3,14.3
Alabama,11.7,12.2,13,14,14.2,14.8,14.3,14.5,14.3,12.4,12.5,15.2,14.5,14.7
Alaska,7.3,7.6,9,9.4,10.2,10.2,10.3,11,12.2,11.9,11.7,11.5,10.8,10.8
Arizona,9.7,10,10.4,10.2,9.7,9.5,9.8,10.6,10.6,10.5,11.1,11.6,11.9,11.6
Arkansas,7.6,7.8,7.8,8.7,9.3,9.4,10.3,9.6,10,9.9,8.6,8.3,8.5,8
California,11.7,12,12.8,14,14,14,14.2,14.3,14.5,13.8,13.6,13.2,12.9,13.2
Colorado,14.7,15.2,16.1,17.9,17.4,15.6,15.9,16.4,16.1,16.8,17,17.4,16.9,16.8
Connecticut,17.8,20.1,20.7,21.8,22.2,22.5,23.6,26.3,26.4,25.6,23.9,20.6,19.7,20.8
Delaware,14.5,15.1,16.1,17.1,17.2,18.2,19,17.3,17.5,19,19,18.1,17.9,18
Florida,9.5,10.3,11,11.7,11.7,11.8,12,12.1,12.2,12.2,12.4,11.7,11.4,11.1
Georgia,7.7,8.1,8.8,9.2,9.1,9.2,9.3,9.7,9.9,9.6,9.5,9.9,10.3,10.4
Hawaii,9.3,9.8,11.1,11.6,12.5,12.1,11.7,11.6,12.6,12.7,12.5,13.3,11.8,10.7
Idaho,9,10.5,11.3,12.9,12.4,12.5,11.2,10.2,10.5,10.4,10.8,10.6,9.7,9.3
Illinois,14.8,15.6,16.2,15.7,16.1,16.1,16.8,17,17.2,17,16.5,16.4,16.2,16.3
Indiana,11.2,12.2,12.9,13,13.5,14.5,14.8,13.9,14.2,14,15.3,15.1,15.8,15.7
Iowa,15,15.2,15.8,16.6,17,16.4,16.7,16.5,17.1,16.3,16.7,15.5,14.9,15.2
