State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,59008415,59142751,62788669,65258864,66834137,68063744,69569126,72330527,74711182,74786209,75640502,78133499,79958721,83118023,84824460,87425663,89958999,92223255,95052797,96806351,95222490,95658842,97293019,98905495,101774464,103039023,104021180,99482328,97698681,99574334,102260094,104476178
Alabama,828156,819067,886238,921371,953843,967497,977971,1033952,1078320,1088877,1119882,1178077,1212523,1274759,1299173,1313504,1331289,1369683,1404959,1380403,1348867,1362767,1391225,1438176,1473866,1494760,1496790,1420965,1389711,1402575,1417126,1434564
Alaska,86879,90095,98131,109300,105131,99876,93155,93540,112967,122818,129035,133691,140512,143547,147032,153264,160777,161188,167796,176751,178164,182001,186812,192378,206224,209539,214869,219947,222877,224291,228589,235858
Arizona,597126,618641,687225,764710,802463,820317,859357,908139,930587,955339,973958,1035776,1112664,1185951,1255716,1315266,1401226,1446063,1514105,1558767,1565924,1583317,1639536,1743802,1909109,1984101,1944205,1786112,1743937,1803910,1838393,1874656
Arkansas,447911,454240,487088,530894,561542,562245,547249,578953,607925,627305,650036,679563,697527,742398,756369,772084,794393,808077,837081,850456,849936,855140,869383,888953,911175,899310,900152,857957,850111,863650,864724,874258
California,6297010,6332069,6812135,7073294,7325312,7578651,7867466,8178415,8656628,8632176,8411947,8513675,8530251,8868759,9015932,9347237,9724352,9929169,10262886,10700862,10468677,10628445,10860884,11066575,11394781,11533252,11654010,11028362,10702819,10934969,11227521,11645770
Colorado,780036,784288,831483,854845,878599,857362,870260,933105,972603,1002320,1047306,1104092,1155061,1230429,1272487,1323560,1399249,1453408,1526698,1599215,1537213,1520329,1562697,1600372,1667532,1713682,1758982,1682147,1651694,1682596,1742885,1802483
Connecticut,1066474,1070383,1122557,1172092,1193273,1228455,1239840,1248118,1239246,1222641,1205286,1206376,1204262,1219941,1235517,1275885,1301800,1330761,1340821,1362358,1374353,1362788,1349304,1353277,1383416,1368385,1392938,1325086,1301166,1310689,1351839,1364190
Delaware,181109,186815,196939,209253,213129,224314,239061,253583,261978,262056,258641,263803,265120,281260,279975,289008,296117,298371,316334,329395,339489,333313,338773,342711,336171,335401,338094,326427,316982,320273,326565,348042
Florida,2269794,2350776,2586589,2720606,2850026,2961687,3123900,3305430,3412354,3444110,3517550,3695046,3870030,4053347,4219966,4366694,4549775,4778071,5040593,5327736,5192710,5254142,5294558,5514854,5861156,5845953,5830916,5490111,5446608,5641758,5830471,5963660
Georgia,1425684,1448145,1575180,1688594,1775224,1822389,1897305,1966825,2020860,2002969,2050724,2147241,2231423,2387662,2457381,2530403,2608932,2752750,2849870,2881413,2844765,2826402,2898694,2951764,3030574,3091284,3107773,2939759,2903228,2920313,2966188,3031299
Hawaii,228230,238081,239851,250808,270968,284588,301246,317349,331143,342925,356946,351957,349178,350069,349336,352934,347505,347644,364721,377322,376994,390307,405223,416612,434244,445128,448583,428203,416676,427391,439942,448512
Idaho,168217,172258,182902,193290,198133,196167,200290,220336,230287,240944,258804,267833,288114,297761,307438,314922,326949,344603,354019,370927,364298,371846,392661,414421,436859,436161,443893,418908,412628,418087,433882,452745
Illinois,3236534,3150710,3352689,3433137,3504310,3483412,3546562,3699157,3808897,3835115,3868735,3952227,4058479,4187741,4260395,4357200,4485356,4584846,4689950,4689385,4518637,4516713,4564160,4591058,4696837,4725348,4831916,4564711,4446213,4523891,4591560,4700993
Indiana,1426784,1386318,1479614,1532456,1566333,1599880,1626589,1719625,1776850,1765289,1826991,1892876,1949927,2051932,2074652,2121833,2176805,2228282,2290455,2256179,2200561,2219753,2266902,2303213,2354952,2351180,2331887,2192856,2150196,2195657,2279727,2315845
Iowa,674251,656648,682191,710936,718279,725346,758288,802611,833242,860833,865540,902267,928915,971125,997751,1014255,1048993,1073497,1101678,1107137,1090638,1091789,1100957,1119813,1144721,1149779,1176566,1155269,1135075,1158553,1186853,1201340
Kansas,593141,573324,629854,638664,648997,622458,633533,684175,717607,725864,737874,762748,788569,814810,842835,879085,905841,934983,947486,950293,942292,953568,963113,973043,987594,1008083,1029999,1011213,990768,994945,1016270,1042220
Kentucky,765448,737195,776820,852112,857999,881233,877279,911151,946615,970110,994330,1048921,1081832,1134652,1158489,1193231,1217285,1240511,1297853,1300342,1278678,1286493,1300637,1323857,1354827,1360066,1382692,1320656,1303233,1313912,1350578,1365380
Louisiana,987979,942865,962509,968342,958872,918703,925251,964342,1015773,1040861,1066464,1084498,1110905,1139217,1178971,1207556,1246773,1296355,1314342,1320218,1311768,1333590,1347774,1359039,1338619,1392822,1408309,1399040,1371792,1399874,1432862,1476418
Maine,248053,261514,275740,281778,292875,307545,318932,330545,327993,320357,317710,334242,347012,359058,362351,371149,381537,393779,407582,418810,408793,407668,418495,423612,429840,434601,441887,425350,419572,420891,430976,430161
Maryland,1034429,1064444,1136943,1192665,1256300,1335981,1375127,1410684,1458039,1428850,1422925,1434664,1459439,1523148,1529415,1589830,1628646,1664597,1728502,1771984,1753023,1774286,1833390,1856201,1917866,1918635,1943567,1876461,1843908,1875966,1923968,1969411
Massachusetts,1915019,1974322,2120292,2160646,2186191,2210951,2296295,2340030,2276662,2178973,2175261,2241923,2288330,2352024,2383905,2450408,2503679,2563649,2627151,2685237,2625718,2599975,2623292,2653631,2723691,2733514,2757767,2675535,2648589,2683158,2744633,2805369
Michigan,2171288,2191496,2357235,2444224,2562914,2608535,2624123,2731593,2795397,2747943,2822367,2913166,2999436,3140186,3178530,3255478,3334378,3386036,3432652,3415150,3324253,3318759,3314938,3229762,3232564,3161408,3147931,2949834,2888710,3001063,3101076,3162408
Minnesota,1170116,1167535,1254762,1306947,1331360,1351803,1393477,1446765,1506695,1510481,1568285,1639180,1682008,1756906,1806194,1868243,1947067,2005062,2069165,2105290,2054853,2056455,2081103,2135478,2185368,2250245,2245526,2136051,2122156,2181486,2249385,2279911
Mississippi,460699,464873,495075,539088,563828,562861,550246,571089,591802,605372,615782,643609,678970,708539,718779,743168,766376,801226,812353,789828,774344,778131,792567,798916,805333,811451,822113,790391,775356,787131,804771,807437
Missouri,1339708,1334802,1428378,1477199,1511950,1545627,1511289,1580347,1620528,1656311,1673986,1708816,1765105,1825907,1869963,1934626,1960156,2012640,2043022,2061767,2036587,2057016,2080376,2093601,2141364,2153064,2183901,2099886,2054077,2066536,2108578,2149664
Montana,138172,139536,145008,163697,164390,166331,146558,156787,166747,172082,184918,192788,195734,203066,206062,212423,215687,223029,231369,239398,240781,243947,254672,262157,273730,282808,291806,281577,279509,279880,296350,309227
