State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,12441875,11077457,11800039,12692750,13487343,14000671,14761905,15117213,14944415,13921551,13255370,12511738,12102089,12424823,12556874,12719859,12893126,13636536,14492065,14584514,13581744,13883375,13534124,13198326,13585257,13819710,13209741,11805073,10939815,10499387,10505911,10492608
Alabama,167756,149059,151967,169146,185135,186142,202790,214967,210061,204726,196057,186163,171073,184252,190211,184862,183673,188999,199581,187990,184351,184196,183482,179580,180625,183448,180146,153533,139011,130626,126936,125511
Alaska,30538,31330,33247,34387,33378,31048,31396,34032,34598,31690,30299,27520,24355,24571,24322,22868,23360,25455,27322,28392,28542,29431,30330,31436,26315,26292,24937,24229,23428,23818,22639,23217
Arizona,171812,165561,199514,223214,244449,251819,252869,245061,243145,244498,225963,216086,216853,233400,247530,277389,257706,276841,305489,307061,293665,314127,310926,319723,322719,323012,293697,254640,230975,227480,220952,222050
Arkansas,101571,96042,101458,101962,100706,111413,114296,114788,113454,112386,107641,108691,104729,104447,108007,106307,107816,113869,119750,112151,99213,105032,102077,100016,102905,108439,103092,92795,89219,88619,89135,81829
California,1768646,1486877,1662041,1802795,1866019,1971567,2074303,2082759,2091176,1912860,1772412,1672270,1562686,1537265,1574434,1602438,1660393,1794508,1932719,2039667,1881428,1877368,1818857,1814278,1893195,1903363,1767704,1562452,1405949,1324771,1318938,1348396
Colorado,242631,222325,240692,247774,247840,239934,242190,220170,219934,223001,218807,221906,220056,233821,240690,241017,253718,271080,287018,291378,273061,264294,261827,251621,261855,263271,263324,239940,221103,213715,210840,205971
Connecticut,157131,162639,166027,178039,187635,210145,209662,223284,212743,187094,170002,165848,143309,142164,143439,159199,145810,153511,162430,169658,147298,157308,146944,132672,133789,134604,131276,118209,111931,108808,105697,103984
District of Columbia,28502,25293,27126,29180,32025,35277,38110,41994,44263,38898,35861,32801,55803,32944,35148,39643,39056,40387,43088,42044,36940,37501,38918,37630,36982,36457,39689,34965,33762,32721,30784,31496
Florida,684134,637688,721275,779476,820897,851099,889810,938480,935520,887177,845704,832889,841217,868353,849392,827172,870660,878385,925391,934970,891466,916751,960452,969322,1012187,1022073,945330,802951,762913,715823,735490,764653
Georgia,272912,265476,284414,327454,344694,371814,402668,415756,414249,369143,365411,349278,360835,370236,393127,397259,396797,421886,462589,462883,418385,425973,428939,425726,455347,452519,418120,382781,339210,326810,327908,324026
Hawaii,72033,60325,61135,57015,57405,59412,66587,70739,80362,77645,76693,67551,56547,60995,59224,58363,53658,55428,53122,54108,50331,54232,55235,57219,61352,60455,56992,48356,47819,44353,44895,42235
Idaho,49466,45542,53842,46166,46109,44444,47867,51177,53727,54745,54803,54342,53186,56343,55582,57532,63293,67794,70972,80384,72290,80402,78582,84083,86370,92321,78757,67498,66130,54787,54789,52673
Illinois,512613,461696,509664,545331,590692,605053,658851,665231,655557,623954,613477,565180,548474,565173,553952,544439,537736,553068,594297,589842,549083,561962,533276,510155,523959,528909,513056,458990,414818,400463,409085,408251
Indiana,229292,187770,210778,231936,253044,292391,294318,308004,299362,288341,275313,266644,255462,251726,251155,254976,246602,265975,281397,282829,249318,262605,255818,238192,242582,236403,229043,210734,195363,190414,195301,182676
Iowa,165129,116657,115853,115160,117137,127720,135338,147823,148677,142326,132230,120619,114747,110173,116524,111771,112395,123648,158637,121271,115476,113734,114930,111063,120419,122019,112174,103701,98444,90737,88127,87086
Kansas,123031,108134,114304,120378,124534,125943,136365,140765,133573,128280,123461,108602,109979,112435,117453,113679,117702,129549,136009,132240,126115,125550,118679,120342,122186,120330,127836,103221,95424,86468,85829,85027
Kentucky,141430,133441,138933,152547,181450,192332,181879,190666,195346,180043,172136,156552,154705,154496,158913,161195,160659,164007,175487,170123,157453,158151,150514,145925,144951,146008,139575,130581,117141,113693,110698,107536
Louisiana,270404,225514,222801,227869,215854,187917,198498,201182,192844,188274,190489,177456,182195,197559,204832,205907,211143,203460,201403,217857,206804,212337,211417,196606,180902,196307,192479,186150,175096,168745,166820,155864
Maine,53865,47785,50010,53280,57795,63613,76484,78940,73204,65209,59267,58049,50175,49562,49814,52150,53585,57571,61091,61989,57743,61294,55834,56277,55006,52538,49697,46111,43357,41257,39869,39549
Maryland,197599,190659,196476,234633,246094,267364,289580,301817,291904,260958,241578,224090,217205,228199,224454,226569,228197,233962,253507,254606,241092,247270,247728,238819,239263,245991,227316,199780,188528,181295,185657,178597
Massachusetts,328296,304594,319330,367461,391076,415771,425173,441209,401773,341499,314154,294794,266423,274635,282661,291867,290686,308856,337604,336310,298974,302103,284582,272964,267120,281780,261620,227862,204151,194417,201981,205725
Michigan,385642,353503,348383,381903,430469,450557,486826,506365,490882,448818,427916,405124,401303,416239,418521,431125,434975,456921,486202,466915,435376,429728,420848,411548,440364,422058,390439,349274,331248,312436,302844,306818
Minnesota,220328,190011,206927,225427,237844,256768,267406,277210,268123,247731,232391,217980,223345,228297,232198,225825,226915,253564,262044,268210,251770,271507,248250,238458,234334,233117,225601,208458,197149,184605,189605,185871
Mississippi,102328,88319,93577,95819,100257,100479,108703,109801,111983,106264,104253,97574,101976,112470,112860,114260,112449,112885,109407,108261,98870,103169,106148,99022,101846,104004,99515,87482,81660,77222,72706,70599
Missouri,264730,208656,216086,233017,262511,269625,295925,298735,290660,275402,264097,243470,240417,252233,251841,251648,241747,258866,270768,273537,243598,263361,253821,245287,243402,249670,235854,213150,194054,179717,174336,172866
Montana,49975,43772,46162,43456,40835,40534,41152,41998,43029,40887,41482,40376,39488,51928,43905,42770,44141,49165,52481,53012,48733,51764,48178,48497,48540,58260,55539,50323,47173,45324,37647,37083
Nebraska,75436,69707,70081,72740,76981,81464,89304,88076,90094,85400,84364,77497,74563,73702,71530,70413,68168,80397,86949,87861,90310,91920,81452,74038,71659,68896,68499,64117,60391,56649,56442,56545
Nevada,75007,69648,73924,72932,73876,84951,91553,101376,107314,103546,90716,90386,91785,101651,111830,129422,137145,155822,172599,179072,151044,158988,161286,178366,193126,182215,170313,145980,128015,130084,120965,123129
New Hampshire,56456,51757,60151,64787,74927,87910,90254,92418,84352,70345,63351,61467,59432,54323,59008,62197,63102,65515,68107,66507,62357,61448,57886,55540,57638,57262,54746,51670,48235,47089,43412,43816
New Jersey,364322,351685,371159,406787,436815,476360,500053,515234,488710,441624,408940,374815,347946,348584,358931,371729,390968,420990,449895,453005,445163,441285,423714,396582,401106,407295,386544,345557,325022,326955,343382,327565
New Mexico,78338,74700,79534,76173,84540,86129,81963,79251,79492,78892,77302,72700,71807,76767,78693,79760,75476,76748,79137,77980,80215,85447,81917,80713,82431,87212,87787,82285,76172,73708,70860,58036
New York,884703,813433,842883,892627,932634,1013509,1099223,1110365,1073547,977968,932591,804594,746273,769454,779052,789796,827835,883387,923573,928818,887971,888918,859384,810240,819718,848239,838594,780697,747022,746961,771858,778583
North Carolina,276305,232477,265489,298189,350148,343689,362720,389417,388944,339691,335510,327871,312557,331723,336365,346861,365074,380006,408826,424931,394783,407398,392723,378681,391986,402933,393074,336493,308048,295046,293805,291821
