State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,157539,169180,184129,201962,202017,193868,200724,208301,226159,247669,269267,290681,282393,278977,294093,302250,322528
Alabama,589,845,823,821,905,846,992,1227,1417,1835,1771,3099,1562,1449,1879,1284,1563
Alaska,24,37,82,48,68,51,36,35,32,49,58,69,71,74,84,39,46
Arizona,1854,1801,2109,2182,2707,3201,2604,2570,2980,3590,3846,5232,4682,4054,4931,4962,5208
Arkansas,118,213,326,400,254,225,270,287,271,285,339,443,709,276,344,305,288
California,34011,32856,38169,45455,44628,42177,46401,46614,50683,58424,64187,67532,64939,64914,75035,81689,89373
Colorado,2248,3180,3266,3143,3082,2823,3543,4008,4299,4657,5223,4019,3960,3899,4310,4105,4522
Connecticut,3014,3346,4145,4132,4686,6077,5834,7177,7885,8273,9444,10518,10638,6498,7504,7343,8010
Delaware,1009,1356,1295,1468,1232,1219,1298,1059,1511,1446,1472,NA,2046,2144,2097,2415,2310
Florida,3442,3265,3482,3773,3755,3707,3155,3486,4164,4139,4569,4178,4329,5127,5988,5211,5795
Georgia,1273,1617,1904,2159,1912,2107,2104,2160,2282,2786,2788,3344,3905,3644,3839,3875,4023
Hawaii,87,55,68,93,93,103,133,131,168,155,218,269,240,257,252,188,214
Idaho,1181,1103,1239,1363,884,992,745,681,642,625,726,961,1015,1120,1171,1079,1238
Illinois,6248,7318,8102,8393,8232,7616,8319,8554,9712,10765,11362,8900,9188,12221,12038,13001,13096
Indiana,2677,2922,2863,2888,3583,3572,3658,4208,4610,4858,4939,4991,5220,4985,6158,6044,6479
Iowa,578,750,730,762,817,753,833,963,1039,1055,1202,1509,1943,1950,2314,1763,2052
Kansas,1136,1384,1448,1327,1299,1427,1675,1804,1993,2064,1304,1600,1616,1492,1509,2072,1942
Kentucky,359,606,777,762,636,656,601,565,660,839,890,933,986,889,1278,1074,1279
Louisiana,172,377,516,364,316,248,289,311,300,367,373,411,416,428,459,363,354
Maine,83,137,208,255,249,250,200,213,350,253,265,308,530,251,295,275,365
Maryland,1425,1905,2020,2213,3682,3800,3118,3826,3706,3421,3665,4333,4492,4384,5101,4028,4770
Massachusetts,8300,10367,9781,10857,11756,10609,11092,11819,13342,15562,19488,15028,14422,14020,15722,17491,17395
Michigan,13009,12554,16877,17489,14283,13565,15217,15170,16752,16477,15736,13742,11999,12144,13660,14912,15925
Minnesota,3116,3367,3695,3971,4355,4460,5003,5199,6340,6296,6636,5728,6880,6246,6174,6216,6614
Mississippi,73,183,224,242,219,224,199,160,194,231,279,252,260,243,235,273,211
Missouri,1290,1505,1664,1978,1792,1592,1742,2151,2602,2675,2736,NA,NA,8106,NA,6982,7174
Montana,92,63,92,78,70,66,65,70,77,103,134,148,144,145,136,105,92
Nebraska,71,195,217,335,306,342,363,383,407,447,489,561,602,527,636,578,627
Nevada,380,476,490,433,290,339,383,417,382,535,567,677,619,709,638,634,525
New Hampshire,652,1138,1157,722,1339,1153,1349,1330,1435,1774,1814,2169,NA,1818,2069,1857,2045
New Jersey,11069,11107,10145,10580,10164,11566,11405,10993,13214,14606,17892,19054,18404,15925,13930,15810,14022
New Mexico,1310,1450,1352,1203,231,331,338,450,405,676,568,735,623,546,472,445,519
New York,9939,10283,12260,11622,10884,9234,8528,8793,9474,9518,10916,11455,10919,10954,12072,11732,12032
North Carolina,3590,3483,3754,4535,4437,3704,4423,4565,5158,5486,6829,6246,5531,5749,6193,6254,8083
North Dakota,33,46,95,83,347,154,216,379,104,120,126,303,231,236,261,222,229
Ohio,5608,5742,6531,6245,6694,6230,6258,5516,5900,6852,7265,7405,6811,6857,6993,7755,8118
Oklahoma,428,369,562,463,543,412,576,410,422,474,527,595,509,478,604,463,505
Oregon,1102,1345,1408,1533,2677,2320,2956,3057,3252,3419,3629,4074,4080,4396,4631,5156,5635
Pennsylvania,6609,7393,7474,8473,8967,7064,7091,8005,8846,9819,10387,9735,9989,9246,9718,9318,10761
Rhode Island,704,1332,1317,1167,1134,1121,1203,1320,1387,1330,411,538,460,531,542,450,571
South Carolina,783,996,922,1059,921,1054,976,961,1402,1396,1426,1221,1254,1316,1399,1615,1016
South Dakota,26,40,57,89,87,53,75,72,68,95,132,133,143,120,136,112,164
Tennessee,1089,2440,2205,1644,1503,1289,1507,1630,1246,1428,1638,1608,1487,1244,1434,1437,1423
Texas,7265,8984,8661,10048,9839,10744,11008,10992,12438,13334,13889,16166,15307,14384,15309,15163,15550
Utah,1027,1119,1028,1063,1173,1116,996,1089,1234,1274,1764,1945,2083,2066,2438,2134,2945
Vermont,246,114,346,389,339,286,360,423,360,360,413,422,418,313,374,466,406
Virginia,1767,2540,2662,2683,2957,2920,3492,4006,4379,4816,4840,6142,6159,4655,5562,4756,4445
Washington,6610,7072,7093,8235,8933,8579,9220,8840,9736,11320,12687,13876,16471,13545,14558,14494,14860
West Virginia,NA,335,351,329,211,264,219,202,242,221,233,334,349,240,247,305,306
Wisconsin,1707,1929,2194,2415,2469,2649,2623,2645,2729,3020,3411,3798,3616,3927,4053,4135,4227
Wyoming,28,20,65,37,28,21,37,23,30,27,37,63,47,39,46,30,28
