State,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,63818372,65393272,65630724,66485615,66071314,68362301,70576502,73645266,74074333,82445122,91463341,100982215,109498570,116328328,119002948,124682074,124844681,138672943,137839276,128115458,135712502,122592619
Alabama,"2,151,670","2,149,352",1819210,1931323,"2,178,776","2,213,683",2013282,1806956,1670058,"2,456,769","2,734,837","3,211,827","3,035,516","3,108,183","2,198,241","2,247,589","2,782,193","3,023,301","3,476,887","5,202,092","5,159,117","4,716,401"
Alaska,92966,92692,157317,96924,93334,99928,107231,115015,155155,254444,299873,"399,401","461,308","495,147",212144,263999,222163,247310,235562,196455,159056,185468
Arizona,638209,535274,800199,902338,706673,732065,993463,1116946,1151925,1881000,2279229,2385404,2643735,"2,958,775",2459645,2422351,2449176,"3,141,545","3,425,571","2,917,048",2405217,2369256
Arkansas,68848,79185,88868,97702,148166,95296,97448,106422,116333,183867,141267,145361,146682,164975,161824,177694,145265,171160,181783,178642,183827,167348
California,"15,999,143","14,883,737",11250614,12600156,12658120,13730886,12222581,"15,600,123",14819382,13001687,"19,198,496","20,169,641","19,259,424","19,964,268","26,897,630","26,987,180","19,938,653","26,988,821","27,226,903","22,768,911","18,036,282",16180810
Colorado,1479238,1343392,1356420,1049208,1277553,1340231,1336289,1438682,1398887,1450603,1728445,1735047,2068038,2264933,2188732,"2,797,532","2,668,121","3,862,299","4,348,333","3,815,539","3,744,745","3,394,037"
Connecticut,578332,522181,733512,900719,798866,846458,699372,655191,806228,1377388,"2,816,662","2,067,969","2,122,540","2,399,563","1,946,644","2,116,827","1,815,401","2,364,526","2,193,459","2,425,968","2,231,082","2,516,608"
Delaware,43065,56160,50441,57746,64865,48964,45214,52255,69867,83546,80561,95399,89747,94151,112658,130615,144314,225170,129091,114728,108746,112268
Florida,2832290,2775255,2906709,2391836,2957866,3326418,2754904,2284405,2286464,2774006,2542044,2854088,3265014,2590033,3346486,4078193,2290401,3734400,3142237,2481827,2355839,2282029
Georgia,2512567,3035313,"5,546,365","4,366,021","4,137,785","3,919,868",3443943,2023240,2654039,3438270,2228988,2133046,1906523,2181847,1750782,1686209,1386021,1957570,1519954,1421812,1133314,1129956
