State,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,17,23,22,27,41,37,44,48,45,49,29,49,28,36,48,32,35,39,51,55,58,67,31,39
Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,2,NA,2
Arizona,31,34,58,60,33,54,100,68,50,71,97,97,69,69,91,61,56,96,105,125,162,140,142,116
Arkansas,5,5,0,1,2,2,4,1,2,12,14,11,6,31,29,7,16,10,67,64,39,48,46,30
California,223,273,334,365,283,374,386,439,481,621,571,502,496,516,431,488,432,466,417,461,541,472,503,429
Colorado,13,7,11,25,28,36,42,11,22,15,32,47,51,64,89,83,112,110,106,98,94,93,80,80
Connecticut,22,21,37,42,51,50,35,60,44,18,12,9,16,19,10,13,9,17,14,12,7,9,19,18
Delaware,NA,NA,4,5,3,3,1,2,4,3,6,0,0,5,2,2,13,4,NA,3,3,7,8,10
District of Columbia,NA,NA,4,9,2,8,NA,NA,NA,14,6,11,1,15,32,32,28,20,11,10,14,5,4,8
Florida,38,35,66,50,48,52,33,43,40,56,70,88,87,95,121,131,133,133,162,177,224,237,212,231
Georgia,25,30,43,29,33,40,99,133,65,75,75,117,148,137,161,143,215,211,228,190,284,410,288,153
Hawaii,NA,NA,3,NA,6,1,3,4,0,0,7,3,31,18,15,11,8,1,6,6,7,10,1,4
Idaho,NA,NA,NA,NA,NA,4,3,0,2,3,1,7,2,20,14,1,6,2,8,18,20,21,22,32
Illinois,12,44,48,91,105,35,66,104,103,112,107,118,130,139,100,129,125,121,100,130,188,162,155,98
Indiana,6,17,18,65,65,77,79,53,90,92,86,46,106,109,100,165,153,122,123,134,109,126,128,131
Iowa,NA,NA,45,116,153,129,159,213,184,248,240,324,231,215,257,183,152,83,103,104,70,73,110,65
Kansas,NA,NA,15,19,30,18,12,12,14,12,13,13,11,24,14,19,23,20,20,11,15,19,29,45
Kentucky,NA,NA,11,18,14,2,6,17,12,16,16,17,19,18,23,26,27,30,31,15,21,9,39,24
Louisiana,3,5,15,14,12,13,10,13,17,16,15,12,11,7,5,14,24,23,23,30,41,32,33,38
Maine,0,3,0,NA,NA,NA,1,1,2,3,NA,2,6,NA,NA,NA,NA,NA,29,27,45,40,32,53
Maryland,54,72,91,99,91,110,104,170,179,171,163,185,201,168,167,110,172,155,164,159,214,221,151,157
Massachusetts,136,200,270,261,242,222,314,292,329,354,407,411,453,462,504,523,533,487,541,514,545,624,501,389
Michigan,28,32,48,55,70,70,65,89,89,88,107,101,118,145,169,161,144,135,132,148,165,172,154,200
Minnesota,53,70,82,78,114,108,231,102,102,148,147,173,189,197,157,175,145,128,131,146,177,160,177,221
Mississippi,0,3,5,2,1,1,2,8,NA,1,7,9,12,13,17,21,12,7,10,15,15,10,9,8
Missouri,52,66,36,63,71,68,60,53,133,167,63,67,55,91,57,57,61,117,132,105,170,114,48,75
Montana,NA,NA,NA,7,4,1,4,5,10,15,1,8,20,29,29,31,38,46,49,53,49,54,40,27
Nebraska,NA,NA,15,4,3,13,4,8,10,17,2,13,12,28,23,18,32,28,32,73,48,58,65,31
Nevada,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,3,1,3,0,3,6,4,2,1,2,2,1,0
New Hampshire,1,2,8,7,9,10,8,9,13,19,20,7,12,29,24,20,49,19,16,21,14,17,52,36
New Jersey,25,39,21,27,55,66,70,70,76,55,58,18,25,44,59,79,97,183,207,136,112,130,108,75
New Mexico,NA,NA,2,6,4,3,9,4,6,5,9,5,9,17,18,25,26,24,38,35,39,50,65,13
New York,57,140,147,112,150,239,303,326,350,225,252,242,177,248,292,208,230,253,242,278,416,480,487,471
North Carolina,26,29,91,92,74,44,146,164,201,161,168,216,183,178,162,184,299,243,290,237,268,291,328,247
North Dakota,NA,NA,3,NA,2,6,10,10,7,10,13,16,10,11,14,56,83,122,96,94,98,70,60,40
Ohio,39,58,65,76,80,49,54,61,73,75,94,88,128,125,151,157,169,160,168,200,164,155,179,152
Oklahoma,2,2,NA,1,4,15,10,9,9,15,18,12,13,14,12,22,12,15,22,12,21,14,19,16
Oregon,4,9,41,22,29,25,31,32,38,24,45,70,64,101,92,104,115,129,126,116,145,225,258,246
Pennsylvania,28,18,95,137,152,111,149,212,214,270,113,195,214,221,253,210,185,217,221,279,371,419,310,393
Rhode Island,NA,NA,6,9,8,8,9,15,15,19,4,13,14,8,9,1,1,2,6,3,NA,18,7,3
South Carolina,1,2,5,3,3,3,5,9,19,17,14,17,21,18,29,40,18,45,34,34,31,24,20,20
South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,1,2,2,5,8,12
Tennessee,6,18,27,24,41,40,59,65,54,51,56,55,75,75,70,90,95,88,89,68,84,104,10,127
Texas,54,72,88,114,95,133,145,166,198,226,146,257,299,210,276,277,291,312,296,296,297,268,127,221
Utah,37,56,47,56,59,73,37,58,50,81,92,96,65,69,71,96,104,118,117,114,135,118,22,105
Vermont,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,NA,NA,NA,NA,3,11,7,8,NA,1
Virginia,10,13,21,50,32,48,54,38,83,98,89,96,118,108,116,114,94,113,118,107,101,94,8,83
Washington,42,42,56,67,97,72,77,150,136,133,113,85,77,98,149,208,251,246,262,223,245,259,18,58
West Virginia,NA,NA,NA,0,0,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,11,11,7,3,10,NA,253
Wisconsin,25,19,24,35,45,62,56,75,115,127,118,158,195,206,221,164,66,87,61,70,65,81,3,64
Wyoming,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
