State,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,0,0,0,1,4,3,6,6,2,8,4,4,2,4,6,1,7,15,12,11,14,6,2,7
Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
Arizona,0,0,0,2,3,7,4,4,6,6,10,8,3,8,10,8,7,7,12,10,18,15,14,24
Arkansas,0,0,0,0,1,0,0,1,1,0,2,5,2,6,3,0,4,1,3,5,4,7,6,2
California,0,0,0,28,28,41,43,47,45,57,55,57,50,37,43,67,59,86,84,95,83,76,93,127
Colorado,0,0,0,2,1,2,7,0,5,2,4,4,8,12,12,15,16,15,12,15,18,19,16,15
Connecticut,0,0,0,6,5,6,2,7,5,0,2,1,1,2,2,1,3,3,7,6,0,5,4,5
Delaware,NA,NA,0,0,0,0,0,0,2,1,3,0,0,3,0,0,3,0,NA,1,1,2,2,3
District of Columbia,NA,NA,0,0,0,0,NA,NA,NA,2,0,0,1,1,1,3,3,0,0,0,2,1,1,4
Florida,0,0,0,8,5,7,5,11,11,11,12,11,13,15,22,21,19,24,21,28,30,40,27,44
Georgia,0,0,0,4,8,6,8,22,12,13,17,16,14,20,15,13,18,14,16,16,16,19,21,20
Hawaii,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,2,4,3,0,3,1,2,2,0,0
Idaho,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,2
Illinois,0,0,0,4,3,2,5,9,7,9,15,20,9,17,13,18,20,17,12,17,32,22,25,28
Indiana,0,0,0,6,3,4,3,5,5,6,11,3,7,10,10,17,13,14,18,17,15,22,25,37
Iowa,NA,NA,0,4,5,5,10,9,4,6,2,5,2,3,11,7,4,2,4,3,4,5,9,15
Kansas,NA,NA,0,2,4,4,1,1,3,2,6,2,4,1,0,0,4,5,2,0,4,2,5,4
Kentucky,NA,NA,0,1,1,0,0,4,3,6,6,5,2,6,7,7,13,11,19,6,7,6,4,8
Louisiana,0,0,0,2,2,4,0,1,1,2,5,0,4,1,0,4,4,4,7,6,7,8,7,5
Maine,0,0,0,NA,NA,NA,0,0,0,1,NA,2,4,NA,NA,NA,NA,NA,0,0,0,0,1,0
Maryland,0,0,0,4,5,2,4,9,12,13,13,8,13,12,15,8,12,18,19,21,18,16,12,27
Massachusetts,0,0,0,35,27,19,29,35,43,52,56,51,32,48,52,58,61,72,50,47,73,59,63,67
Michigan,0,0,0,2,7,13,10,6,4,9,15,5,11,23,13,17,19,19,8,15,19,17,12,17
